Id,index,Latitude_and_Longitude
1020,台北市大安區忠孝東路四段325號2樓(部分)、經紀部複委託科地址：台北市松山區長安東路二段225號5樓,"('25.0416', '121.556279')"
1021,台中市西區民權路91號6樓,"('24.138041', '120.679355')"
1022,台南市北區成功路48號3樓,"('22.997999', '120.207877')"
1023,高雄市大勇路97號5樓,"('22.624875', '120.284176')"
1024,嘉義市國華街279號2樓,"('23.48046', '120.448328')"
1025,基隆市仁二路255號3樓,"('25.129819', '121.742367')"
1028,彰化縣彰化市民生路279號5樓,"('24.0820056', '120.5422723')"
1029,高雄市鳳山區鳳松路3號,"('22.631953', '120.360748')"
102A,新竹市東區東門街60號5樓,"('24.804306', '120.972705')"
102C,台北市中山區南京東路2段85、87號3樓,"('25.052266', '121.53176')"
102E,桃園市桃園區中華路12號3樓,"('24.991292', '121.311505')"
102F,台中市西屯區漢口路二段151號3樓,"('24.165313', '120.661594')"
102G,新北市三重區正義南路17號1樓,"('25.06144447', '121.49800733')"
102Q,台北市松山區長安東路二段225號5樓、6樓,"('25.048425', '121.545337')"
1030,台北市延平南路八十一號,"('25.043673', '121.510767')"
1031,台中市自由路2段1號4樓,"('24.138261', '120.679929')"
1032,台南市中正路26號4樓,"('22.992226', '120.203439')"
1033,高雄市大勇路131號,"('22.626134', '120.284885')"
1034,嘉義市中山路309號3 樓,"('23.479615', '120.449815')"
1035,新竹市中央路1號4、5樓,"('24.803771', '120.9666')"
1036,花蓮縣玉里鎮中山路二段五十五號一、二樓,"('23.33321315', '121.31491742')"
1037,花蓮縣花蓮市中山路356號3樓,"('23.98265843', '121.60527155')"
1038,台北市和平東路3段15號3樓部分,"('25.02486', '121.547411')"
1039,台北市中山北路五段六八九號三樓,"('25.097361', '121.527221')"
103A,高雄市建國一路458號3樓,"('22.635191', '120.316767')"
103B,彰化市光復路九十八號六樓,"('24.0807671503', '120.5418333369')"
103C,台南市白河區三民路三九五號三樓,"('23.351622', '120.414871')"
103F,台北市南港區南港路1段364號5樓,"('25.054529', '121.60644')"
1040,台北市重慶南路1段58號4樓、5樓部分,"('25.043947', '121.51306')"
1041,鳳山市曹公路20號3樓,"('22.628738', '120.357297')"
1042,臺南市中正路240號4樓,"('22.993262', '120.196807')"
1043,臺北市承德路2段239號3樓,"('25.062513', '121.518513')"
1045,新竹市林森路29號5樓,"('24.801535', '120.969289')"
104A,台中市民權路95號3樓,"('24.138167', '120.679198')"
104C,高雄市苓雅區成功一路261號3樓,"('22.619648', '120.295414')"
104D,台北市金山南路2段189號3樓,"('25.028265', '121.526384')"
1110,台北市塔城街30號4樓,"('25.051192', '121.510275')"
1111,台中市臺灣大道1段400號二、三樓,"('24.143132', '120.67897')"
1112,台南市中正路一八五號四樓,"('22.992652', '120.198074')"
1113,高雄市三民區九如二路255號3樓,"('22.640754', '120.306572')"
1114,嘉義市光華路132號,"('23.479185', '120.451083')"
1115,台中市太平區中興里二鄰中興東路二十七號,"('24.130268', '120.71992')"
1116,屏東市漢口街七號,"('22.670295', '120.489952')"
1117,新竹縣竹北市斗崙里縣政九路一二八號三樓,"('24.8279', '121.01051')"
1118,台中市豐原區源豐路1號4樓,"('24.251532', '120.715351')"
