,id,Locate,Price_Plus,Price_Negative
0,1020,臺北市,216.50766050962505,188.99123932256026
1,1021,臺中市,222.29846895826003,216.77984063003836
2,1022,臺南市,213.8352668287689,202.68887709182943
3,1023,高雄市,214.25895005898536,206.08893161434997
4,1024,嘉義市,219.69340389016025,217.87111127465394
5,1025,基隆市,236.56585051546392,249.14348686714914
6,1028,彰化縣,228.22400264450354,229.94251576292544
7,1029,高雄市,227.0958745733789,212.57966254508003
8,102A,新竹市,223.57463414634185,216.77732154769848
9,102C,臺北市,223.86449553815322,208.95530680507477
10,102E,桃園市,244.45970339949787,227.79789861229125
11,102F,臺中市,236.44905046674432,245.5315259502925
12,102G,新北市,238.06518848526403,237.76836570945935
13,102Q,臺北市,0.0,0.0
14,1030,臺北市,206.73641941195393,194.87484087552028
15,1031,臺中市,210.786911461908,202.13331129378102
16,1032,臺南市,221.89116041896355,218.31035400819198
17,1033,高雄市,211.96907862407855,215.19858757062153
18,1034,嘉義市,216.00629901960775,206.4060714285715
19,1035,新竹市,228.88112052037295,206.33782538659796
20,1036,花蓮縣,228.40926310043662,221.13251732101625
21,1037,花蓮縣,228.99961405244926,222.84973763118438
22,1038,臺北市,196.949210648148,192.30986788617884
23,1039,臺北市,226.05064191802018,213.8632705479454
24,103A,高雄市,221.71681133746685,208.66712236533962
25,103B,彰化縣,219.65532047089607,218.58872152828812
26,103C,臺南市,218.01342128408098,212.8153004926109
27,103F,臺北市,220.26338737949155,213.6471458333334
28,1040,臺北市,199.07828303102843,183.73979274830114
29,1041,高雄市,220.69679898403461,215.81411133300057
30,1042,臺南市,217.9901363771123,211.94645364297094
31,1043,臺北市,217.8856766079391,209.4856938483545
32,1045,新竹市,210.28367272268488,211.93855876427105
33,104A,臺中市,211.40504464285735,201.46364627129904
34,104C,高雄市,217.93116970546978,215.73608611924178
35,104D,臺北市,221.4115838117106,209.29206255911348
36,1110,臺北市,209.40884086081093,200.5307895454544
37,1111,臺中市,222.890997859818,210.82926666666683
38,1112,臺南市,222.42606766256588,218.87236373165655
39,1113,高雄市,218.89136446056204,219.27334443387255
40,1114,嘉義市,217.68192378838324,191.3795042735043
41,1115,臺中市,215.3502494845361,206.17899538106255
42,1116,屏東縣,220.87351586489257,214.94964892412239
43,1117,新竹縣,213.5677437759336,199.17490984974967
44,1118,臺中市,232.02468899521543,223.66445842450776
45,1119,高雄市,230.244206212252,224.3952068252327
46,111A,嘉義縣,235.2044727435211,231.12334914611
47,111B,臺北市,212.89047046523783,210.87123243559716
48,111C,高雄市,234.48744230769222,232.07222521551708
49,111E,桃園市,217.21260711692076,218.19189932318096
50,111F,高雄市,176.51188337393415,174.40238761395784
51,111G,新北市,255.5224360613811,253.314507959479
52,1160,臺北市,214.77429571020215,195.6841437930959
53,1161,臺北市,207.2477175661837,208.58740725887318
54,1162,臺南市,221.78414963332827,215.62404570443897
55,1163,臺中市,209.1370587095525,204.36397143998403
56,1164,臺北市,230.71467633928563,223.37026693030157
57,1165,新北市,212.63935592965572,204.07464992516222
58,1166,新北市,200.4473657638953,191.98209482843862
59,1167,嘉義市,216.5624032856387,205.9473744950952
60,1168,高雄市,208.72419279190328,203.12944260027683
61,1169,臺北市,208.3021451187337,198.82024369509804
62,116A,臺北市,213.86954898785444,210.8873431241655
63,116B,桃園市,213.1880301990389,208.19163717916788
64,116C,桃園市,232.81683847402581,230.6050465549349
65,116E,新北市,224.95673217773438,221.72378537735835
66,116F,彰化縣,199.02756683480467,206.31005358462662
67,116G,臺北市,208.22401684794215,204.27942929177155
68,116H,新竹市,175.01540668610716,179.08656946617137
69,116I,臺北市,233.05584860345118,230.88267351471404
70,116J,新北市,210.1957438212928,201.0470064279156
71,116K,花蓮縣,215.7858966565349,209.3101014656144
72,116L,臺中市,212.56389082003454,226.39250757320752
73,116M,屏東縣,222.84093592512616,205.59815444015453
74,116N,臺南市,220.3101273722003,211.5091822214008
75,116P,臺北市,209.47762905604696,200.5625397054578
76,116Q,彰化縣,199.5159125804853,194.02219066666663
77,116S,新北市,207.65107112253662,204.21553677092143
78,116U,桃園市,211.58315579083828,204.47809362934368
79,116V,雲林縣,218.1237374686719,210.75713311688287
80,116W,高雄市,221.6862486883526,216.58680075424297
81,116X,宜蘭縣,225.6164210704606,217.50956760718202
82,116Z,新北市,224.6185631044869,215.3957003244439
83,116b,新竹市,213.1880301990389,208.19163717916788
84,116c,臺中市,232.81683847402581,230.6050465549349
85,116d,新北市,236.1715778961383,222.4627436440678
86,116e,新竹縣,224.95673217773438,221.72378537735835
87,116f,臺北市,199.02756683480467,206.31005358462662
88,116g,桃園市,208.22401684794215,204.27942929177155
89,116i,新北市,233.05584860345118,230.88267351471404
90,116j,苗栗縣,210.1957438212928,201.0470064279156
91,116k,高雄市,215.7858966565349,209.3101014656144
92,116m,彰化縣,222.84093592512616,205.59815444015453
93,116r,新北市,200.7362754058929,196.83552043036738
94,116s,新北市,207.65107112253662,204.21553677092143
95,116x,臺北市,225.6164210704606,217.50956760718202
96,1230,臺北市,201.7635445611656,193.49614011896898
97,1232,高雄市,208.88702515177798,209.3642332035053
98,1233,臺中市,217.7528686366294,210.95147184721785
99,1260,臺北市,229.27360995551942,217.2616452370699
100,1261,臺北市,216.46826631853807,214.27535459043463
101,1262,桃園市,228.59783055199003,222.95496668147516
102,126D,臺南市,219.99242785793564,207.6732621173471
103,126H,新北市,210.2050524934383,206.22022304832728
104,126L,臺中市,213.4907957416094,198.33484171942698
105,126Q,高雄市,234.62109477124196,225.24150042444805
106,126U,臺北市,212.13034370477573,196.11627926777345
107,126X,臺南市,230.63085510688828,222.47878869448195
108,1360,臺北市,207.94096083321128,195.49666997949134
109,1380,臺北市,199.2725325884911,214.01927167515927
110,1440,臺北市,193.11262461888424,211.73803142315336
111,1470,臺北市,201.09579007764475,208.21762712683463
112,1480,臺北市,207.25711065456517,205.76761518708224
113,1520,臺北市,194.42684744041713,206.0062154597082
114,1530,臺北市,184.16172515271103,188.52182246538433
115,1560,臺北市,208.20921546848777,193.4180517341903
116,1570,臺北市,213.7949949028571,216.0877347164062
117,1590,臺北市,199.00149166917907,203.8228560625284
118,1650,臺北市,206.94627523165815,209.41074634334632
119,2180,臺北市,198.90744870528857,192.29501784953123
120,2181,新北市,219.48168915343945,208.83194530443765
121,2184,新竹市,213.09655933260538,199.0349701998364
122,2185,臺南市,211.76680821440996,207.5623211075151
123,2186,高雄市,223.46895089285718,217.89838987473897
124,2187,臺中市,193.12681034482773,192.14573993131427
125,218A,新北市,0.0,0.0
126,2200,臺北市,0.0,0.0
127,2210,臺北市,0.0,0.0
128,5050,臺北市,218.04713703443426,211.85435050698788
129,5058,臺南市,289.8607246376811,294.0609210526316
130,5110,臺北市,219.14194813278007,208.44230145027598
131,5112,臺北市,207.75313900057427,201.62124654505266
132,5260,臺北市,185.63252988516558,183.32494351473252
133,5261,新北市,212.18260851063818,202.21730404551198
134,5262,桃園市,207.03511225055445,202.36109742120343
135,5263,新北市,223.90272477064207,225.04076429980273
136,5264,高雄市,222.58635430916564,210.42343093093103
137,5265,苗栗縣,187.21358902181558,186.52728445563253
138,5266,桃園市,224.89584524295634,208.56441230486703
139,5267,基隆市,216.4697222222223,212.70737692307694
140,5268,臺南市,223.5698923220975,221.7399519743864
141,5269,臺中市,223.39166239316228,218.3097623400365
142,526A,新北市,221.45337577160495,218.81465707027954
143,526K,新北市,206.98405504587157,206.00011379633966
144,526L,新北市,224.6691484517305,217.38376506024113
145,5320,桃園市,215.79215667122514,206.82020258272794
146,5321,桃園市,215.50221308833014,208.35810435931307
147,5322,桃園市,213.8947330097087,210.69908854166692
148,5323,桃園市,220.54436864633487,211.48710128055885
149,5380,臺北市,216.57324243723332,199.2008404123528
150,5381,彰化縣,224.67582195521564,207.9854950186798
151,5382,臺中市,248.56210913404487,247.97591671031972
152,5383,高雄市,206.02729130124078,210.27223442840184
153,5384,臺南市,209.02705984555993,205.89739677296393
154,5385,桃園市,209.19185459568052,195.8226976090017
155,5386,彰化縣,213.48584309133483,204.69736426116836
156,5387,澎湖縣,215.23403115264801,212.28596296296303
157,5389,臺北市,235.41934292494807,215.80413193388085
158,538A,高雄市,243.53113631247172,244.71324654291755
159,538B,新竹市,224.07810985460415,223.16022242260325
160,538C,臺北市,220.80913342503442,221.72344080687847
161,538D,臺北市,220.11882685442254,197.27757173166293
162,538E,臺中市,216.24084433879207,203.78131196496122
163,538F,臺北市,224.2775523349435,220.97162916486363
164,538I,苗栗縣,228.5711154144074,225.42504171881512
165,538M,嘉義市,225.85108695652178,226.9345905891072
166,538N,臺中市,219.01373171846438,208.5376441812566
167,538P,高雄市,230.12921029950468,229.64074958619048
168,538W,新北市,240.55121108805213,229.9414236363636
169,538Y,桃園市,217.55539343009949,212.74492813709242
170,538a,臺北市,243.53113631247172,244.71324654291755
171,538j,臺北市,198.00305444464638,196.8330495218325
172,5460,臺中市,204.00347152428816,190.66761398176297
173,5600,臺北市,202.70637207641494,202.10077402303173
174,5602,臺中市,220.84026744778396,202.0923953261929
175,5603,臺中市,212.261322905028,208.2009499076639
176,5604,臺中市,209.0080591775326,208.372274390244
177,5660,苗栗縣,209.47439523682107,199.47310483870996
178,5850,臺北市,211.34026971289967,199.08533329866867
179,5851,高雄市,232.23288269475216,226.44837549655006
180,5852,臺北市,223.2230273246093,217.23683604544064
181,5853,桃園市,200.53692468017823,205.077207586207
182,5854,臺北市,240.6408468496571,231.7179819183205
183,5855,臺南市,233.3400092395166,202.32272143340086
184,5856,臺中市,226.12687898973078,214.26310903732806
185,5857,新竹市,235.03385813462123,226.91542282966603
186,5858,嘉義市,234.65993253373307,224.02596058170678
187,5859,屏東縣,213.8253178036605,213.54521638054356
188,585A,基隆市,222.70882933937813,221.32252895752907
189,585B,新北市,210.2845005973714,223.12248726439117
190,585D,臺中市,221.10950520833313,205.63594917330056
191,585E,臺南市,216.43236692506449,209.66190843621405
192,585F,彰化縣,209.21520060687797,212.8112649440803
193,585H,桃園市,231.3066927083333,218.30340538847148
194,585I,彰化縣,213.58150671785035,205.4528637295084
195,585J,新北市,199.3700493598643,189.145229240141
196,585M,臺北市,223.0102420306966,220.1215990099009
197,585P,新北市,218.98524137931022,220.0511225466731
198,585Q,高雄市,226.54978558110642,220.27812500000022
199,585R,新北市,227.424323972959,224.41555008685575
200,585S,宜蘭縣,218.33246571729967,215.37092038396392
201,585U,臺北市,223.8646790897321,210.77886478384343
202,585W,金門縣,206.8505252100841,193.96829921259842
203,585Y,新北市,237.92286516853946,229.03697942643402
204,585Z,臺北市,219.1638891936367,207.25329119707584
205,585b,臺北市,210.2845005973714,223.12248726439117
206,585c,臺北市,222.7083036459782,216.2289376544107
207,585g,桃園市,218.47598282061531,209.79191943127975
208,585m,苗栗縣,223.0102420306966,220.1215990099009
209,585s,臺北市,218.33246571729967,215.37092038396392
210,5860,高雄市,216.01374316939902,208.89616776315788
211,5861,高雄市,230.25828007518803,221.46801941747566
212,5862,高雄市,219.4536343115124,217.8415000000001
213,5870,花蓮縣,221.9922990183071,200.38320398846733
214,5920,臺北市,217.38667854575732,203.69454317360734
215,5921,高雄市,205.73450421417942,194.34057044764285
216,5922,新北市,214.77917159763308,207.93514377234834
217,5923,新北市,219.09340336134434,207.65531698113236
218,5925,臺中市,235.78010011646643,242.39774847870206
219,5926,高雄市,210.4761575481255,197.30545251396654
220,5927,高雄市,215.2976959954878,214.7957444794953
221,5928,新北市,215.68841656263007,207.70244101244108
222,5929,臺南市,204.71133465011306,199.46916570327568
223,592A,高雄市,223.6269722222223,206.17831940700808
224,592B,新北市,220.65069525395498,217.03298920694505
225,592C,屏東縣,222.27054090909127,212.1081698344573
226,592D,高雄市,221.01981820559774,202.9792206447798
227,592E,臺北市,195.88167772083196,192.36504636043915
228,592G,新竹市,222.42911163522032,222.87152057245095
229,592H,臺北市,198.34304308797113,202.0470645728091
230,592I,嘉義市,215.02945262695087,207.27756979849488
231,592L,桃園市,206.62678634490894,206.380485678705
232,592M,彰化縣,212.0510331854138,205.29007490636693
233,592N,雲林縣,213.2802893928656,206.23373311161913
234,592P,高雄市,210.37799262734583,208.01111261040245
235,592Q,臺北市,218.91720234325524,214.36145993413808
236,592S,基隆市,222.86420826833077,215.65748974569345
237,592U,宜蘭縣,208.5184926247728,195.72670822230683
238,592V,臺北市,209.284405762305,214.2952773295684
239,592W,臺北市,217.8734610417563,211.68830378533792
240,592X,南投縣,207.61826275264661,218.42350893182635
241,592Y,南投縣,212.51934971098277,218.5878206724782
242,592Z,臺南市,228.8442966545747,225.4906231823847
243,592a,臺北市,223.6269722222223,206.17831940700808
244,592b,新北市,220.65069525395498,217.03298920694505
245,592c,臺中市,222.27054090909127,212.1081698344573
246,592d,臺北市,221.01981820559774,202.9792206447798
247,592e,臺北市,195.88167772083196,192.36504636043915
248,592f,臺北市,0.0,0.0
249,592g,臺中市,222.42911163522032,222.87152057245095
250,592i,臺中市,215.02945262695087,207.27756979849488
251,592l,臺中市,206.62678634490894,206.380485678705
252,592m,臺南市,212.0510331854138,205.29007490636693
253,592n,臺北市,213.2802893928656,206.23373311161913
254,592o,高雄市,216.48332466181083,214.48091366055598
255,592q,屏東縣,218.91720234325524,214.36145993413808
256,592r,臺北市,217.8714579537826,224.61538769912445
257,592u,臺北市,208.5184926247728,195.72670822230683
258,592v,桃園市,209.284405762305,214.2952773295684
259,592w,臺南市,217.8734610417563,211.68830378533792
260,592y,花蓮縣,212.51934971098277,218.5878206724782
261,592z,臺中市,228.8442966545747,225.4906231823847
262,5960,南投縣,209.12785871357877,201.85810906935407
263,5961,南投縣,201.8002974628173,199.8832233721431
264,5962,南投縣,205.7773268133659,203.32273031825807
265,6010,臺北市,218.72775527977362,217.9072667627232
266,6012,臺北市,233.98774834814316,220.10446793212552
267,601d,臺北市,220.17963240542474,216.86691508636324
268,6110,臺中市,214.335652677056,201.17334350870902
