,id,Locate,Latitude,Longitude,Price_Plus,Price_Negative
0,1020,臺北市,25.0169639,121.226186,1178.913092105263,-1547.1597297297294
1,1021,臺中市,24.2204731,120.675682,207.2283582089552,-285.89805555555563
2,1022,臺南市,23.1229948,120.1312983,491.6162037037037,-443.11125000000027
3,1023,高雄市,22.7955626,120.3328973,479.6241216216218,-845.2009473684212
4,1024,嘉義市,23.4790323,120.4142769,371.393,-441.43304347826097
5,1025,基隆市,25.1240308,121.6475836,181.99375000000003,-245.901
6,1028,彰化縣,23.992187,120.323067,192.43645161290326,-214.63352941176473
7,1029,高雄市,22.7955626,120.3328973,330.3893749999999,-284.6676363636364
8,102A,新竹市,24.7835529,120.9316641,211.79459459459457,-224.78473684210525
9,102C,臺北市,25.0169639,121.226186,290.2740853658537,-309.33438461538464
10,102E,桃園市,24.8545491,120.9519931,220.3876923076923,-239.19944444444445
11,102F,臺中市,24.2204731,120.675682,319.6030158730158,-477.77624999999995
12,102G,新北市,24.9869053,121.3645974,157.0,-161.75
13,102Q,臺北市,25.0169639,121.226186,0.0,0.0
14,1030,臺北市,25.0169639,121.226186,214.98556603773582,-319.21102941176474
15,1031,臺中市,24.2204731,120.675682,242.14574074074076,-307.56088235294123
16,1032,臺南市,23.1229948,120.1312983,171.56125,-177.0911111111111
17,1033,高雄市,22.7955626,120.3328973,275.133,-213.70857142857145
18,1034,嘉義市,23.4790323,120.4142769,264.644090909091,-195.49642857142857
19,1035,新竹市,24.7835529,120.9316641,241.1883333333334,-336.79560000000015
20,1036,花蓮縣,23.8790869,121.3989973,209.6316666666667,-245.5207142857143
21,1037,花蓮縣,23.8790869,121.3989973,174.98357142857145,-169.33700000000002
22,1038,臺北市,25.0169639,121.226186,249.34613636363636,-332.46157894736837
23,1039,臺北市,25.0169639,121.226186,161.6940909090909,-228.1542857142857
24,103A,高雄市,22.7955626,120.3328973,222.17555555555558,-314.2638235294118
25,103B,彰化縣,23.992187,120.323067,306.90181818181816,-422.53499999999997
26,103C,臺南市,23.1229948,120.1312983,183.30166666666665,-213.1966666666667
27,103F,臺北市,25.0169639,121.226186,230.89450000000005,-576.8166666666666
28,1040,臺北市,25.0169639,121.226186,774.790471698113,-704.1097546012268
29,1041,高雄市,22.7955626,120.3328973,270.99989919354846,-350.48408783783793
30,1042,臺南市,23.1229948,120.1312983,255.5981593406593,-293.6596874999999
31,1043,臺北市,25.0169639,121.226186,280.671026119403,-326.405802919708
32,1045,新竹市,24.7835529,120.9316641,239.20110236220467,-260.9796296296297
33,104A,臺中市,24.2204731,120.675682,277.009693877551,-319.88134482758625
34,104C,高雄市,22.7955626,120.3328973,322.01048192771077,-338.50512048192763
35,104D,臺北市,25.0169639,121.226186,294.02625000000006,-384.35208695652176
36,1110,臺北市,25.0169639,121.226186,179.84799999999996,-1493.573888888889
37,1111,臺中市,24.2204731,120.675682,216.04151515151517,-274.95026315789477
38,1112,臺南市,23.1229948,120.1312983,159.23673913043476,-169.99
39,1113,高雄市,22.7955626,120.3328973,215.21250000000003,-240.58642857142863
40,1114,嘉義市,23.4790323,120.4142769,225.95374999999999,-200.32368421052635
41,1115,臺中市,24.2204731,120.675682,272.2789166666667,-410.04420000000005
42,1116,屏東縣,22.3912447,120.0679491,237.8884615384615,-355.72038461538466
43,1117,新竹縣,24.6873144,120.8920136,173.67361111111111,-179.483
44,1118,臺中市,24.2204731,120.675682,294.9841666666667,-180.4975
45,1119,高雄市,22.7955626,120.3328973,611.0395999999998,-1000.9368085106381
46,111A,嘉義縣,23.4257436,120.2573527,314.82842105263154,-369.7965625
47,111B,臺北市,25.0169639,121.226186,206.29125,-258.2083333333333
48,111C,高雄市,22.7955626,120.3328973,189.64045454545456,-152.805
49,111E,桃園市,24.8545491,120.9519931,184.90455882352938,-171.4827083333333
50,111F,高雄市,22.7955626,120.3328973,236.96947368421058,-199.7575
51,111G,新北市,24.9869053,121.3645974,189.0475,-212.03218749999996
52,1160,臺北市,25.0169639,121.226186,1286.6801027397264,-1216.9256914893615
53,1161,臺北市,25.0169639,121.226186,196.69797752808984,-211.8879310344827
54,1162,臺南市,23.1229948,120.1312983,188.85049999999998,-228.00755319148936
55,1163,臺中市,24.2204731,120.675682,192.534921875,-468.0774509803921
56,1164,臺北市,25.0169639,121.226186,200.14878048780488,-234.35913793103452
57,1165,新北市,24.9869053,121.3645974,332.1778000000001,-299.44613924050634
58,1166,新北市,24.9869053,121.3645974,203.32627118644064,-217.8652941176471
59,1167,嘉義市,23.4790323,120.4142769,281.788875,-296.6241176470589
60,1168,高雄市,22.7955626,120.3328973,283.49296296296296,-383.36531250000013
61,1169,臺北市,25.0169639,121.226186,444.6658125000002,-724.4699999999998
62,116A,臺北市,25.0169639,121.226186,256.9375308641976,-437.6429411764707
63,116B,桃園市,24.8545491,120.9519931,268.80992753623195,-344.06094594594595
64,116C,桃園市,24.8545491,120.9519931,318.37758333333335,-440.05038461538464
65,116E,新北市,24.9869053,121.3645974,280.3078448275862,-473.5996875000001
66,116F,彰化縣,23.992187,120.323067,229.2535483870968,-243.46184782608697
67,116G,臺北市,25.0169639,121.226186,266.63500000000005,-396.26549019607853
68,116H,新竹市,24.7835529,120.9316641,402.20888489208636,-385.5874193548386
69,116I,臺北市,25.0169639,121.226186,256.76631578947365,-322.32583333333326
70,116J,新北市,24.9869053,121.3645974,411.27912500000014,-183.33727272727273
71,116K,花蓮縣,23.8790869,121.3989973,492.6045348837208,-717.6864423076923
72,116L,臺中市,24.2204731,120.675682,424.15576923076924,-778.8927659574468
73,116M,屏東縣,22.3912447,120.0679491,240.17034482758615,-336.40534883720926
74,116N,臺南市,23.1229948,120.1312983,297.00303030303036,-355.59887755102045
75,116P,臺北市,25.0169639,121.226186,339.00820000000004,-591.4246999999999
76,116Q,彰化縣,23.992187,120.323067,210.73088235294122,-296.54875000000004
77,116S,新北市,24.9869053,121.3645974,254.22940476190482,-320.90285714285704
78,116U,桃園市,24.8545491,120.9519931,268.72563492063495,-416.31712121212104
79,116V,雲林縣,23.6745746,120.2945059,211.00301587301595,-279.0946590909091
80,116W,高雄市,22.7955626,120.3328973,283.2491025641026,-352.376
81,116X,宜蘭縣,25.0362375,121.8489444,224.03499999999997,-198.69400000000002
82,116Z,新北市,24.9869053,121.3645974,248.3315000000001,-396.49565217391296
83,116b,新竹市,24.7835529,120.9316641,268.80992753623195,-344.06094594594595
84,116c,臺中市,24.2204731,120.675682,318.37758333333335,-440.05038461538464
85,116d,新北市,24.9869053,121.3645974,249.4884722222223,-216.4039130434783
86,116e,新竹縣,24.6873144,120.8920136,280.3078448275862,-473.5996875000001
87,116f,臺北市,25.0169639,121.226186,229.2535483870968,-243.46184782608697
88,116g,桃園市,24.8545491,120.9519931,266.63500000000005,-396.26549019607853
89,116i,新北市,24.9869053,121.3645974,256.76631578947365,-322.32583333333326
90,116j,苗栗縣,24.5151718,120.6615375,411.27912500000014,-183.33727272727273
91,116k,高雄市,22.7955626,120.3328973,492.6045348837208,-717.6864423076923
92,116m,彰化縣,23.992187,120.323067,240.17034482758615,-336.40534883720926
93,116r,新北市,24.9869053,121.3645974,493.74118421052634,-557.1395588235295
94,116s,新北市,24.9869053,121.3645974,254.22940476190482,-320.90285714285704
95,116x,臺北市,25.0169639,121.226186,224.03499999999997,-198.69400000000002
96,1230,臺北市,25.0169639,121.226186,1691.784722222222,-631.3207407407407
97,1232,高雄市,22.7955626,120.3328973,259.93139534883716,-319.63294117647064
98,1233,臺中市,24.2204731,120.675682,473.47350000000006,-572.4272222222222
99,1260,臺北市,25.0169639,121.226186,874.8215384615385,-1476.3326136363632
100,1261,臺北市,25.0169639,121.226186,294.87605263157894,-316.0693750000001
101,1262,桃園市,24.8545491,120.9519931,311.8644047619048,-358.02772727272736
102,126D,臺南市,23.1229948,120.1312983,910.5998076923076,-1715.1226666666666
103,126H,新北市,24.9869053,121.3645974,186.11428571428573,-155.2373076923077
104,126L,臺中市,24.2204731,120.675682,602.3263636363637,-730.3388461538464
105,126Q,高雄市,22.7955626,120.3328973,339.8411,-346.7617708333333
106,126U,臺北市,25.0169639,121.226186,403.7412307692308,-478.64488095238096
107,126X,臺南市,23.1229948,120.1312983,187.35999999999999,-248.8325
108,1360,臺北市,25.0169639,121.226186,3923.4000714285717,-4723.901530612246
109,1380,臺北市,25.0169639,121.226186,3491.0775757575757,-6949.556492537313
110,1440,臺北市,25.0169639,121.226186,1992.3598219584587,-3040.5514299242413
111,1470,臺北市,25.0169639,121.226186,2356.950581717452,-2342.8118312387815
112,1480,臺北市,25.0169639,121.226186,2209.6799858757067,-2774.9677254098383
113,1520,臺北市,25.0169639,121.226186,1733.0009079283884,-1748.4982195121952
114,1530,臺北市,25.0169639,121.226186,1647.796793478261,-1940.9125903614465
115,1560,臺北市,25.0169639,121.226186,3258.546383928572,-3284.812989690722
116,1570,臺北市,25.0169639,121.226186,2394.7083999999995,-2485.357093023256
117,1590,臺北市,25.0169639,121.226186,2593.32106870229,-3134.3009246575352
118,1650,臺北市,25.0169639,121.226186,2667.9045722713863,-2591.6484888888886
119,2180,臺北市,25.0169639,121.226186,250.2327358490565,-258.9885714285714
120,2181,新北市,24.9869053,121.3645974,350.7548437499999,-522.5331666666667
121,2184,新竹市,24.7835529,120.9316641,217.47184931506857,-282.5842857142857
122,2185,臺南市,23.1229948,120.1312983,254.7622727272727,-259.8887096774194
123,2186,高雄市,22.7955626,120.3328973,269.0086320754716,-314.23867647058836
124,2187,臺中市,24.2204731,120.675682,264.64010638297873,-296.0373809523809
125,218A,新北市,24.9869053,121.3645974,0.0,0.0
126,2200,臺北市,25.0169639,121.226186,0.0,0.0
127,2210,臺北市,25.0169639,121.226186,0.0,0.0
128,5050,臺北市,25.0169639,121.226186,219.89444444444445,-280.505
129,5058,臺南市,23.1229948,120.1312983,0.0,0.0
130,5110,臺北市,25.0169639,121.226186,267.7294444444444,-310.89571428571435
131,5112,臺北市,25.0169639,121.226186,264.78875,-197.1966666666667
132,5260,臺北市,25.0169639,121.226186,335.4129310344828,-364.8589583333334
133,5261,新北市,24.9869053,121.3645974,195.07083333333333,-255.20800000000003
134,5262,桃園市,24.8545491,120.9519931,333.1747972972973,-358.89079545454547
135,5263,新北市,24.9869053,121.3645974,299.6879310344828,-285.70939999999996
136,5264,高雄市,22.7955626,120.3328973,171.5952380952381,-214.80694444444444
137,5265,苗栗縣,24.5151718,120.6615375,339.72573529411767,-348.5987096774193
