,index,0
0,0.33,1
1,0.50,0
2,0.51,0
3,0.52,0
4,0.53,0
5,0.54,0
6,0.55,0
7,0.56,0
8,0.57,0
9,0.58,0
10,0.59,0
11,0.60,0
12,0.61,0
13,0.62,0
14,0.63,0
15,0.64,1
16,0.65,0
17,0.66,0
18,0.67,0
19,0.68,0
20,0.69,6
21,0.70,15
22,0.71,24
23,0.72,56
24,0.73,105
25,0.74,162
26,0.75,256
27,0.76,285
28,0.77,261
29,0.78,216
30,0.79,139
31,0.80,77
32,0.81,34
33,0.82,16
34,0.83,16
35,0.84,19
36,0.85,8
37,0.86,5
38,0.87,5
39,0.88,1
40,0.89,4
41,0.90,0
42,0.91,2
43,0.92,0
44,0.93,1
45,0.94,1
46,0.95,0
47,0.96,0
48,0.97,0
49,0.98,0
50,0.99,1
51,1.00,2
52,nan,1
