,stockiid,Booling,Unnamed: 2,追隨外資,Unnamed: 4,追隨投信,Unnamed: 6,KD 交叉,Unnamed: 8,MACD 交叉,Unnamed: 10,均線交叉,Unnamed: 12,type
723,8406,81.01%,30,50.89%,125,-703.37%,65,96.46%,47,-40.81%,14,-2.43%,46,生技醫療業
724,8409,-114.14%,42,7.10%,4,0.00%,0,91.17%,52,24.65%,15,50.83%,41,生技醫療業
725,8410,434.78%,24,306.41%,32,0.00%,0,77.83%,52,-3.08%,15,29.16%,44,電腦及週邊設備業
726,8415,12.64%,18,-677.06%,249,10.76%,7,89.05%,48,60.18%,18,64.98%,47,鋼鐵工業
727,8416,26.20%,16,-171.10%,78,0.00%,0,83.79%,53,32.78%,21,50.08%,47,資訊服務業
728,8418,42.09%,27,269.62%,68,0.00%,0,60.43%,60,-38.45%,16,114.72%,55,其他
729,8420,62.24%,35,-6.16%,7,0.00%,0,89.04%,42,3.95%,16,4.36%,37,其他
730,8421,-362.61%,46,-93.64%,34,0.00%,0,42.32%,53,-23.17%,14,-40.57%,43,其他
731,8423,54.64%,22,0.00%,0,0.00%,0,-8.60%,57,-11.49%,17,108.36%,55,其他
732,8424,8.96%,18,351.46%,26,0.00%,0,64.50%,44,20.30%,16,41.40%,45,建材營造
733,8426,-47.39%,27,-597.59%,19,0.00%,0,-24.93%,47,-49.49%,14,-47.83%,47,其他
734,8431,-102.08%,25,833.52%,130,263.81%,8,180.02%,50,-12.93%,15,9.09%,48,其他電子業
735,8432,-59.02%,34,-76.99%,34,0.00%,0,76.68%,46,-16.32%,17,1.54%,46,生技醫療業
736,8433,-204.55%,28,-306.89%,62,-35.92%,15,45.92%,44,-58.55%,15,-9.22%,42,貿易百貨
737,8435,12.77%,26,-30.95%,30,0.00%,0,44.78%,50,22.66%,18,14.93%,46,其他
738,8436,93.61%,19,2442.30%,199,246.07%,136,194.87%,50,40.62%,14,59.04%,44,生技醫療業
739,8437,22.53%,16,541.37%,197,-9.76%,3,66.19%,47,22.99%,16,27.55%,46,其他
740,8440,31.39%,22,1.17%,6,0.00%,0,4.94%,30,3.11%,9,-28.92%,33,其他
741,8444,106.44%,41,76.08%,48,-52.00%,14,25.10%,44,-40.63%,16,-70.05%,35,其他
742,8446,-4.04%,27,-362.12%,189,-918.04%,23,38.30%,45,-16.24%,13,10.94%,39,文化創意業
743,8450,-87.63%,39,-43.64%,55,-31.30%,4,9.54%,48,-103.91%,13,-56.46%,42,文化創意業
744,8455,-48.10%,36,-50.20%,5,0.00%,0,70.79%,49,-17.82%,14,82.16%,48,其他電子業
745,8472,94.28%,28,-37.02%,2,0.00%,0,24.73%,48,-12.54%,17,10.19%,38,電子商務
746,8476,-171.97%,25,-216.40%,31,0.00%,0,65.36%,46,-60.84%,11,-96.74%,39,其他
747,8477,-39.95%,31,-157.07%,50,0.00%,1,53.95%,47,-10.48%,18,107.43%,54,電子商務
748,8489,-10.76%,20,-347.38%,105,-417.53%,30,137.91%,43,25.45%,16,-92.54%,36,文化創意業
749,8905,45.03%,23,-21.02%,77,0.00%,0,48.77%,52,25.27%,17,16.57%,35,其他
750,8906,218.75%,16,12.92%,3,0.00%,0,28.63%,46,101.54%,15,103.91%,51,其他
751,8908,35.17%,20,0.00%,1,0.00%,0,67.99%,41,13.94%,13,33.76%,41,油電燃氣業
752,8916,27.87%,21,-496.79%,137,-168.82%,24,30.46%,45,-13.96%,17,27.56%,48,其他
753,8917,8.75%,11,0.00%,0,0.00%,0,27.78%,33,-3.95%,10,39.71%,25,油電燃氣業
754,8921,50.28%,12,0.00%,0,0.00%,0,-9.27%,18,7.35%,6,76.28%,24,其他
755,8923,14.24%,23,0.00%,0,0.00%,0,22.38%,40,7.14%,9,15.66%,34,文化創意業
756,8924,8.81%,24,157.05%,110,116.14%,8,242.75%,51,-37.42%,14,48.73%,48,其他
757,8927,9.50%,21,111.03%,5,0.00%,0,63.75%,53,6.33%,19,73.50%,48,油電燃氣業
758,8928,119.72%,30,118.34%,45,0.00%,9,105.02%,45,36.30%,12,22.03%,43,其他
759,8929,42.07%,30,239.00%,61,0.00%,0,20.55%,53,59.56%,16,85.98%,52,其他
760,8930,-38.39%,21,-31.69%,32,0.00%,0,49.37%,50,-23.90%,14,-4.47%,45,鋼鐵工業
761,8931,22.36%,29,0.00%,0,0.00%,0,55.22%,51,21.83%,12,31.87%,40,油電燃氣業
762,8932,305.61%,34,-33.79%,9,0.00%,0,177.99%,50,124.19%,19,99.67%,45,其他
763,8933,236.27%,28,1303.38%,119,0.00%,0,194.07%,46,62.63%,17,32.35%,40,其他
764,8934,-137.25%,19,0.00%,0,0.00%,0,143.76%,39,-26.82%,10,101.94%,37,其他
765,8935,98.80%,31,44.50%,7,0.00%,0,69.39%,52,20.69%,15,101.12%,48,其他
766,8936,95.75%,23,124.88%,222,-18.44%,1,101.81%,46,53.63%,17,20.26%,43,其他
767,8937,92.89%,24,-1.22%,8,0.00%,0,64.69%,54,15.69%,17,71.33%,44,其他
768,8938,101.68%,25,540.05%,201,-121.16%,20,87.69%,44,34.41%,15,54.44%,48,其他
769,8941,-51.53%,34,-11.85%,1,0.00%,0,-8.76%,51,-46.71%,15,-3.68%,56,貿易百貨
770,8942,-55.41%,28,-202.46%,173,481.99%,34,13.49%,46,-22.61%,14,20.23%,47,其他
771,9949,157.90%,26,0.00%,1,0.00%,0,74.86%,46,1.24%,16,25.52%,38,文化創意業
772,9950,37.22%,30,0.00%,0,0.00%,0,40.23%,50,3.74%,15,1.15%,42,塑膠工業
773,9951,-182.29%,31,-49.81%,184,-141.14%,36,48.98%,50,-63.21%,16,-15.24%,48,電機機械
774,9960,55.85%,30,-13.34%,5,0.00%,0,53.17%,53,11.58%,15,14.58%,50,貿易百貨
775,9962,-78.24%,27,-4.71%,7,0.00%,0,1.87%,47,-26.24%,17,15.26%,45,鋼鐵工業
