Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,75.67,77.56,74.39,75.29,569967,0.0,0.0
2016-01-05,76.05,76.43,73.48,75.29,308270,0.0,0.0
2016-01-06,75.6,81.35,75.6,78.32,1346426,0.0,0.0
2016-01-07,78.32,79.83,74.08,75.67,746391,0.0,0.0
2016-01-08,75.6,83.24,75.52,83.24,1436140,0.0,0.0
2016-01-11,84.37,86.64,80.97,83.24,2029612,0.0,0.0
2016-01-12,84.75,91.56,77.56,78.32,2790178,0.0,0.0
2016-01-13,80.97,85.89,77.94,85.89,1348985,0.0,0.0
2016-01-14,85.51,91.18,84.0,87.78,2365797,0.0,0.0
2016-01-15,88.16,90.43,79.46,81.73,1945014,0.0,0.0
2016-01-18,82.48,88.54,82.48,88.54,1242361,0.0,0.0
2016-01-19,89.29,94.59,86.64,90.05,1857500,0.0,0.0
2016-01-20,90.43,91.56,85.51,85.51,966948,0.0,0.0
2016-01-21,88.54,91.94,85.51,90.43,1135870,0.0,0.0
2016-01-22,90.81,91.94,87.78,90.05,798576,0.0,0.0
2016-01-25,91.56,94.59,90.81,93.83,1057001,0.0,0.0
2016-01-26,93.45,99.13,91.94,94.21,2149175,0.0,0.0
2016-01-27,94.97,96.1,91.18,92.32,1251909,0.0,0.0
2016-01-28,92.32,96.86,92.32,94.97,997654,0.0,0.0
2016-01-29,96.1,98.75,94.59,94.59,1015182,0.0,0.0
2016-02-01,94.97,96.86,92.32,93.83,525671,0.0,0.0
2016-02-02,94.59,94.97,91.56,93.08,419158,0.0,0.0
2016-02-03,93.08,95.35,92.32,93.08,628039,0.0,0.0
2016-02-15,95.72,102.16,95.35,102.16,1458994,0.0,0.0
2016-02-16,105.18,110.86,102.91,104.81,2403332,0.0,0.0
2016-02-17,105.18,110.86,102.54,109.72,1510038,0.0,0.0
2016-02-18,111.99,113.51,108.97,110.1,1313053,0.0,0.0
2016-02-19,111.24,121.07,110.86,121.07,2019395,0.0,0.0
2016-02-22,124.86,133.18,124.48,133.18,2576537,0.0,0.0
2016-02-23,134.7,144.53,134.7,142.64,2625638,0.0,0.0
2016-02-24,134.7,139.61,128.64,128.64,1959357,0.0,0.0
2016-02-25,132.05,138.48,130.16,130.53,1904193,0.0,0.0
2016-02-26,133.18,136.97,130.91,133.18,1211463,0.0,0.0
2016-03-01,135.07,136.21,131.67,133.56,654323,0.0,0.0
2016-03-02,135.07,141.51,132.8,133.18,1411548,0.0,0.0
2016-03-03,134.32,138.1,133.18,135.83,878370,0.0,0.0
2016-03-04,137.34,139.99,134.7,139.24,854557,0.0,0.0
2016-03-07,143.02,148.32,139.99,141.88,2227751,0.0,0.0
2016-03-08,140.75,143.02,134.7,138.86,979367,0.0,0.0
2016-03-09,138.48,143.02,136.21,137.34,598019,0.0,0.0
2016-03-10,139.99,143.02,137.72,137.72,981366,0.0,0.0
2016-03-11,138.86,140.75,137.34,139.24,638612,0.0,0.0
2016-03-14,138.48,149.07,138.48,147.56,2172623,0.0,0.0
2016-03-15,150.59,150.59,140.75,141.13,1060183,0.0,0.0
2016-03-16,141.51,145.29,137.72,139.24,717810,0.0,0.0
2016-03-17,143.02,143.02,125.62,129.4,1777919,0.0,0.0
2016-03-18,129.78,133.94,129.78,132.05,683093,0.0,0.0
2016-03-21,133.56,134.32,128.64,132.43,471331,0.0,0.0
2016-03-22,132.43,134.7,132.05,133.56,401416,0.0,0.0
2016-03-23,132.05,133.18,125.99,127.51,656460,0.0,0.0
2016-03-24,123.34,124.1,119.18,119.56,1150225,0.0,0.0
2016-03-25,121.83,123.34,119.56,119.56,402808,0.0,0.0
2016-03-28,120.32,124.1,119.56,122.59,493487,0.0,0.0
2016-03-29,122.97,128.26,122.97,126.37,767404,0.0,0.0
2016-03-30,126.37,131.67,124.86,129.4,835249,0.0,0.0
2016-03-31,130.53,132.05,124.1,124.48,806276,0.0,0.0
2016-04-01,124.48,129.02,122.21,128.64,568863,0.0,0.0
2016-04-06,129.4,130.16,126.75,128.26,414834,0.0,0.0
2016-04-07,128.26,129.4,122.59,122.97,391724,0.0,0.0
2016-04-08,123.72,128.26,122.59,126.37,804149,0.0,0.0
2016-04-11,126.37,127.51,123.34,123.34,321593,0.0,0.0
2016-04-12,123.34,124.86,115.78,117.29,672063,0.0,0.0
2016-04-13,117.67,122.21,116.53,121.45,679802,0.0,0.0
2016-04-14,122.59,130.53,122.21,127.88,1451111,0.0,0.0
2016-04-15,128.64,132.8,126.75,126.75,1003586,0.0,0.0
2016-04-18,127.51,128.26,121.83,121.83,504588,0.0,0.0
2016-04-19,124.1,127.13,122.97,123.34,331778,0.0,0.0
2016-04-20,124.48,125.99,122.59,123.72,311596,0.0,0.0
2016-04-21,126.75,126.75,119.94,121.83,417029,0.0,0.0
2016-04-22,121.07,122.97,118.05,118.43,371643,0.0,0.0
2016-04-25,119.94,121.45,117.29,117.67,285205,0.0,0.0
2016-04-26,117.67,118.8,108.21,112.37,1019121,0.0,0.0
2016-04-27,111.24,115.02,110.86,113.51,389294,0.0,0.0
2016-04-28,113.51,115.4,110.1,110.1,349299,0.0,0.0
2016-04-29,109.72,112.37,107.45,111.99,350407,0.0,0.0
2016-05-03,112.37,116.53,112.37,115.02,492500,0.0,0.0
2016-05-04,115.02,115.78,109.72,111.99,339319,0.0,0.0
2016-05-05,111.99,113.89,108.59,113.51,222941,0.0,0.0
2016-05-06,113.51,114.64,109.72,109.72,361496,0.0,0.0
2016-05-09,111.24,112.75,108.21,108.59,252837,0.0,0.0
2016-05-10,108.97,111.24,102.91,111.24,786200,0.0,0.0
2016-05-11,113.13,113.51,110.1,110.1,262805,0.0,0.0
2016-05-12,108.97,110.48,99.13,99.13,570017,0.0,0.0
2016-05-13,99.13,104.05,97.62,100.64,733028,0.0,0.0
2016-05-16,101.4,109.72,97.24,108.21,593329,0.0,0.0
2016-05-17,108.21,109.35,104.81,107.45,359500,0.0,0.0
2016-05-18,107.83,118.05,107.08,118.05,1501364,0.0,0.0
2016-05-19,119.56,125.62,117.67,123.72,2780597,0.0,0.0
2016-05-20,122.59,125.99,119.56,122.21,1388325,0.0,0.0
