Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,5.72,5.73,5.63,5.7,1133492,0.0,0.0
2016-01-05,5.69,5.69,5.64,5.65,1169563,0.0,0.0
2016-01-06,5.69,5.69,5.61,5.62,946020,0.0,0.0
2016-01-07,5.62,5.67,5.5,5.56,2132958,0.0,0.0
2016-01-08,5.56,5.59,5.53,5.55,1297762,0.0,0.0
2016-01-11,5.54,5.54,5.43,5.43,1864205,0.0,0.0
2016-01-12,5.44,5.49,5.39,5.41,1012523,0.0,0.0
2016-01-13,5.41,5.47,5.38,5.39,751866,0.0,0.0
2016-01-14,5.34,5.38,5.3,5.33,1444434,0.0,0.0
2016-01-15,5.33,5.38,5.08,5.3,1542437,0.0,0.0
2016-01-18,5.22,5.34,5.19,5.24,1605656,0.0,0.0
2016-01-19,5.25,5.37,5.25,5.37,880498,0.0,0.0
2016-01-20,5.36,5.39,5.22,5.24,1100486,0.0,0.0
2016-01-21,5.24,5.34,5.22,5.25,1215062,0.0,0.0
2016-01-22,5.26,5.33,5.26,5.28,612304,0.0,0.0
2016-01-25,5.37,5.38,5.31,5.38,672902,0.0,0.0
2016-01-26,5.37,5.37,5.31,5.33,457347,0.0,0.0
2016-01-27,5.33,5.41,5.28,5.32,1230315,0.0,0.0
2016-01-28,5.32,5.37,5.28,5.34,863922,0.0,0.0
2016-01-29,5.34,5.48,5.34,5.46,1916797,0.0,0.0
2016-02-01,5.57,5.61,5.49,5.51,908770,0.0,0.0
2016-02-02,5.61,5.94,5.61,5.82,7761684,0.0,0.0
2016-02-03,5.79,5.79,5.67,5.72,2875736,0.0,0.0
2016-02-15,5.66,5.71,5.66,5.7,997274,0.0,0.0
2016-02-16,5.7,5.82,5.7,5.82,1694241,0.0,0.0
2016-02-17,5.82,5.82,5.75,5.78,967247,0.0,0.0
2016-02-18,5.84,5.85,5.8,5.81,1353204,0.0,0.0
2016-02-19,5.79,5.86,5.79,5.85,1323748,0.0,0.0
2016-02-22,5.85,5.9,5.85,5.86,1167850,0.0,0.0
2016-02-23,5.88,5.88,5.81,5.82,1044677,0.0,0.0
2016-02-24,5.81,5.86,5.79,5.81,1452532,0.0,0.0
2016-02-25,5.81,5.85,5.78,5.83,1546315,0.0,0.0
2016-02-26,5.82,5.86,5.8,5.8,1692304,0.0,0.0
2016-03-01,5.83,5.85,5.81,5.84,955925,0.0,0.0
2016-03-02,5.88,5.9,5.86,5.86,2257913,0.0,0.0
2016-03-03,5.86,5.92,5.86,5.91,2234501,0.0,0.0
2016-03-04,5.91,5.93,5.86,5.89,1526660,0.0,0.0
2016-03-07,5.89,5.93,5.86,5.87,2889918,0.0,0.0
2016-03-08,5.86,5.9,5.82,5.84,1241595,0.0,0.0
2016-03-09,5.85,5.86,5.8,5.82,938324,0.0,0.0
2016-03-10,5.81,5.87,5.81,5.86,753389,0.0,0.0
2016-03-11,5.86,5.88,5.82,5.86,933271,0.0,0.0
2016-03-14,5.87,5.92,5.85,5.89,2263356,0.0,0.0
2016-03-15,5.89,5.9,5.79,5.81,1561081,0.0,0.0
2016-03-16,5.82,5.88,5.81,5.84,1111299,0.0,0.0
2016-03-17,5.86,5.9,5.84,5.84,1368955,0.0,0.0
2016-03-18,5.85,5.88,5.77,5.77,2917239,0.0,0.0
2016-03-21,5.81,5.84,5.8,5.81,1020819,0.0,0.0
2016-03-22,5.81,5.81,5.76,5.79,845109,0.0,0.0
2016-03-23,5.8,5.81,5.75,5.77,789112,0.0,0.0
2016-03-24,5.77,5.77,5.71,5.74,1471470,0.0,0.0
2016-03-25,5.75,5.75,5.7,5.73,529412,0.0,0.0
2016-03-28,5.73,5.74,5.68,5.7,950424,0.0,0.0
2016-03-29,5.7,5.71,5.65,5.65,991957,0.0,0.0
2016-03-30,5.7,5.73,5.67,5.72,1208615,0.0,0.0
2016-03-31,5.73,5.76,5.71,5.73,873825,0.0,0.0
2016-04-01,5.7,5.76,5.7,5.73,957733,0.0,0.0
2016-04-06,5.73,5.73,5.65,5.7,1272958,0.0,0.0
2016-04-07,5.66,5.7,5.65,5.7,1013500,0.0,0.0
2016-04-08,5.68,5.71,5.67,5.69,820034,0.0,0.0
2016-04-11,5.69,5.69,5.65,5.69,601948,0.0,0.0
2016-04-12,5.7,5.7,5.66,5.69,584661,0.0,0.0
2016-04-13,5.69,5.69,5.66,5.69,1249311,0.0,0.0
2016-04-14,5.69,5.76,5.69,5.73,1084789,0.0,0.0
2016-04-15,5.72,5.76,5.7,5.72,543183,0.0,0.0
2016-04-18,5.72,5.75,5.68,5.72,629534,0.0,0.0
2016-04-19,5.73,5.74,5.69,5.7,927596,0.0,0.0
2016-04-20,5.7,5.72,5.67,5.69,613961,0.0,0.0
2016-04-21,5.67,5.72,5.67,5.69,352417,0.0,0.0
2016-04-22,5.69,5.69,5.65,5.65,783891,0.0,0.0
2016-04-25,5.66,5.69,5.65,5.67,724077,0.0,0.0
2016-04-26,5.67,5.7,5.66,5.68,733748,0.0,0.0
2016-04-27,5.69,5.7,5.67,5.68,352846,0.0,0.0
2016-04-28,5.67,5.68,5.65,5.65,541900,0.0,0.0
2016-04-29,5.65,5.66,5.61,5.65,645639,0.0,0.0
2016-05-03,5.64,5.65,5.61,5.62,723052,0.0,0.0
2016-05-04,5.61,5.61,5.46,5.49,2935925,0.0,0.0
2016-05-05,5.49,5.51,5.42,5.46,1724819,0.0,0.0
2016-05-06,5.48,5.53,5.43,5.46,805846,0.0,0.0
2016-05-09,5.46,5.51,5.45,5.45,478706,0.0,0.0
2016-05-10,5.45,5.5,5.44,5.49,411569,0.0,0.0
2016-05-11,5.49,5.53,5.45,5.48,744298,0.0,0.0
2016-05-12,5.47,5.52,5.46,5.47,370155,0.0,0.0
2016-05-13,5.48,5.48,5.41,5.42,1160571,0.0,0.0
2016-05-16,5.42,5.49,5.4,5.43,376721,0.0,0.0
2016-05-17,5.43,5.47,5.42,5.46,481067,0.0,0.0
2016-05-18,5.46,5.54,5.42,5.5,653027,0.0,0.0
2016-05-19,5.5,5.53,5.44,5.47,476672,0.0,0.0
2016-05-20,5.44,5.47,5.44,5.46,1040996,0.0,0.0
2016-05-23,5.45,5.54,5.4,5.53,1346065,0.0,0.0
2016-05-24,5.53,5.56,5.5,5.53,408654,0.0,0.0
2016-05-25,5.55,5.57,5.51,5.55,1106432,0.0,0.0
2016-05-26,5.52,5.54,5.49,5.5,488679,0.0,0.0
2016-05-27,5.5,5.53,5.49,5.53,656225,0.0,0.0
2016-05-30,5.53,5.56,5.52,5.54,720071,0.0,0.0
2016-05-31,5.52,5.53,5.41,5.41,2077965,0.0,0.0
2016-06-01,5.45,5.53,5.44,5.52,1011770,0.0,0.0
2016-06-02,5.52,5.57,5.52,5.54,883784,0.0,0.0
2016-06-03,5.54,5.54,5.51,5.53,298862,0.0,0.0
2016-06-06,5.51,5.51,5.46,5.47,487374,0.0,0.0
2016-06-07,5.47,5.47,5.47,5.47,0,0.0,0.0
2016-06-08,5.52,5.53,5.5,5.52,922911,0.0,0.0
2016-06-13,5.52,5.54,5.44,5.45,1345268,0.0,0.0
2016-06-14,5.45,5.46,5.45,5.46,412534,0.0,0.0
2016-06-15,5.5,5.5,5.42,5.46,1089946,0.0,0.0
2016-06-16,5.44,5.47,5.44,5.45,389648,0.0,0.0
2016-06-17,5.47,5.48,5.45,5.48,609016,0.0,0.0
2016-06-20,5.49,5.49,5.45,5.48,512658,0.0,0.0
2016-06-21,5.48,5.5,5.46,5.5,738147,0.0,0.0
2016-06-22,5.51,5.54,5.49,5.53,740517,0.0,0.0
2016-06-23,5.54,5.56,5.52,5.56,866217,0.0,0.0
2016-06-24,5.52,5.56,5.45,5.48,604842,0.0,0.0
2016-06-27,5.45,5.5,5.43,5.48,344849,0.0,0.0
2016-06-28,5.45,5.48,5.45,5.48,198303,0.0,0.0
2016-06-29,5.48,5.5,5.47,5.49,556812,0.0,0.0
2016-06-30,5.52,5.52,5.47,5.47,620025,0.0,0.0
2016-07-01,5.49,5.51,5.47,5.5,397285,0.0,0.0
2016-07-04,5.49,5.49,5.47,5.49,661926,0.0,0.0
2016-07-05,5.49,5.52,5.48,5.52,547932,0.0,0.0
2016-07-06,5.48,5.48,5.45,5.46,787506,0.0,0.0
2016-07-07,5.46,5.5,5.45,5.47,628835,0.0,0.0
2016-07-08,5.47,5.47,5.47,5.47,0,0.0,0.0
2016-07-11,5.49,5.49,5.47,5.49,1006632,0.0,0.0
2016-07-12,5.49,5.5,5.48,5.48,389169,0.0,0.0
2016-07-13,5.48,5.52,5.48,5.52,672729,0.0,0.0
2016-07-14,5.51,5.56,5.51,5.56,947397,0.0,0.0
2016-07-15,5.57,5.6,5.56,5.58,2165935,0.0,0.0
2016-07-18,5.58,5.65,5.58,5.61,1416843,0.0,0.0
2016-07-19,5.62,5.65,5.61,5.65,793380,0.0,0.0
2016-07-20,5.65,5.66,5.61,5.62,1146919,0.0,0.0
2016-07-21,5.62,5.67,5.62,5.66,991437,0.0,0.0
2016-07-22,5.65,5.69,5.65,5.66,892385,0.0,0.0
2016-07-25,5.66,5.69,5.64,5.68,663351,0.0,0.0
2016-07-26,5.68,5.69,5.66,5.69,775395,0.0,0.0
2016-07-27,5.67,5.69,5.65,5.65,576159,0.0,0.0
2016-07-28,5.65,5.69,5.65,5.68,528045,0.0,0.0
2016-07-29,5.69,5.69,5.65,5.65,365521,0.0,0.0
2016-08-01,5.64,5.67,5.64,5.65,490082,0.0,0.0
2016-08-02,5.65,5.66,5.63,5.63,248520,0.0,0.0
2016-08-03,5.61,5.64,5.61,5.61,649525,0.0,0.0
2016-08-04,5.61,5.65,5.61,5.62,363091,0.0,0.0
2016-08-05,5.62,5.67,5.61,5.66,791014,0.0,0.0
2016-08-08,5.68,5.69,5.65,5.67,824752,0.0,0.0
2016-08-09,5.68,5.69,5.67,5.68,763535,0.0,0.0
2016-08-10,5.69,5.7,5.65,5.69,2166110,0.0,0.0
2016-08-11,5.69,5.69,5.65,5.69,731362,0.0,0.0
2016-08-12,5.7,5.73,5.69,5.72,760536,0.0,0.0
2016-08-15,5.72,5.74,5.7,5.73,698618,0.0,0.0
2016-08-16,5.73,5.73,5.7,5.7,646850,0.0,0.0
2016-08-17,5.7,5.71,5.67,5.67,749388,0.0,0.0
2016-08-18,5.67,5.71,5.67,5.69,459033,0.0,0.0
2016-08-19,5.7,5.73,5.69,5.7,939885,0.0,0.0
2016-08-22,5.67,5.7,5.63,5.69,907446,0.0,0.0
2016-08-23,5.69,5.69,5.64,5.68,703763,0.0,0.0
2016-08-24,5.68,5.68,5.65,5.66,299027,0.0,0.0
2016-08-25,5.66,5.69,5.65,5.66,1022544,0.0,0.0
2016-08-26,5.66,5.69,5.65,5.69,348206,0.0,0.0
2016-08-29,5.7,5.73,5.67,5.7,1069731,0.0,0.0
2016-08-30,5.7,5.73,5.7,5.71,778912,0.0,0.0
2016-08-31,5.7,5.71,5.65,5.65,1391511,0.0,0.0
2016-09-01,5.65,5.67,5.63,5.64,1144178,0.0,0.0
2016-09-02,5.64,5.67,5.64,5.65,881036,0.0,0.0
2016-09-05,5.66,5.69,5.65,5.66,4742663,0.0,0.0
2016-09-06,5.66,5.69,5.66,5.69,4708672,0.0,0.0
2016-09-07,5.69,5.71,5.69,5.71,1380264,0.0,0.0
2016-09-08,5.72,5.75,5.71,5.73,2994600,0.0,0.0
2016-09-09,5.73,5.73,5.71,5.72,2214177,0.0,0.0
2016-09-12,5.62,5.68,5.61,5.61,3252623,0.10307,1.043
2016-09-13,5.64,5.64,5.53,5.58,1752804,0.0,0.0
2016-09-14,5.54,5.65,5.54,5.65,1372560,0.0,0.0
2016-09-19,5.63,5.63,5.58,5.58,1654215,0.0,0.0
2016-09-20,5.58,5.6,5.57,5.58,820953,0.0,0.0
2016-09-21,5.57,5.6,5.55,5.6,727283,0.0,0.0
2016-09-22,5.6,5.6,5.57,5.58,505759,0.0,0.0
2016-09-23,5.58,5.6,5.56,5.57,777200,0.0,0.0
2016-09-26,5.57,5.6,5.55,5.56,715125,0.0,0.0
2016-09-27,5.56,5.56,5.56,5.56,0,0.0,0.0
2016-09-28,5.56,5.56,5.56,5.56,0,0.0,0.0
2016-09-29,5.56,5.59,5.55,5.55,937841,0.0,0.0
2016-09-30,5.58,5.58,5.49,5.49,1782379,0.0,0.0
2016-10-03,5.52,5.52,5.47,5.47,587690,0.0,0.0
2016-10-04,5.5,5.5,5.46,5.49,537345,0.0,0.0
2016-10-05,5.49,5.5,5.46,5.46,908554,0.0,0.0
2016-10-06,5.47,5.49,5.45,5.47,998336,0.0,0.0
2016-10-07,5.48,5.5,5.47,5.49,518575,0.0,0.0
2016-10-11,5.49,5.5,5.44,5.48,1245062,0.0,0.0
2016-10-12,5.48,5.5,5.45,5.47,863411,0.0,0.0
2016-10-13,5.49,5.5,5.45,5.5,547916,0.0,0.0
2016-10-14,5.5,5.5,5.45,5.48,455997,0.0,0.0
2016-10-17,5.47,5.47,5.44,5.45,765460,0.0,0.0
2016-10-18,5.45,5.46,5.44,5.46,730044,0.0,0.0
2016-10-19,5.46,5.48,5.45,5.45,774573,0.0,0.0
2016-10-20,5.45,5.48,5.45,5.45,367766,0.0,0.0
2016-10-21,5.45,5.48,5.45,5.47,438426,0.0,0.0
2016-10-24,5.47,5.53,5.46,5.5,1075882,0.0,0.0
2016-10-25,5.53,5.55,5.5,5.53,495123,0.0,0.0
2016-10-26,5.53,5.55,5.51,5.53,374321,0.0,0.0
2016-10-27,5.53,5.55,5.51,5.51,584179,0.0,0.0
2016-10-28,5.51,5.53,5.5,5.52,632507,0.0,0.0
2016-10-31,5.55,5.55,5.49,5.51,361967,0.0,0.0
2016-11-01,5.5,5.52,5.49,5.5,540919,0.0,0.0
2016-11-02,5.5,5.5,5.45,5.45,723126,0.0,0.0
2016-11-03,5.45,5.45,5.43,5.45,512115,0.0,0.0
2016-11-04,5.45,5.45,5.43,5.44,245814,0.0,0.0
2016-11-07,5.44,5.45,5.42,5.45,479248,0.0,0.0
2016-11-08,5.49,5.49,5.45,5.46,397732,0.0,0.0
2016-11-09,5.45,5.45,5.31,5.34,1091479,0.0,0.0
2016-11-10,5.37,5.43,5.37,5.39,890438,0.0,0.0
2016-11-11,5.39,5.39,5.35,5.37,714247,0.0,0.0
2016-11-14,5.38,5.42,5.36,5.39,910254,0.0,0.0
2016-11-15,5.42,5.42,5.38,5.38,762905,0.0,0.0
2016-11-16,5.39,5.42,5.38,5.42,845409,0.0,0.0
2016-11-17,5.4,5.4,5.38,5.39,353806,0.0,0.0
2016-11-18,5.4,5.41,5.38,5.39,928937,0.0,0.0
2016-11-21,5.4,5.47,5.39,5.47,1171097,0.0,0.0
2016-11-22,5.44,5.46,5.43,5.43,818824,0.0,0.0
2016-11-23,5.45,5.5,5.44,5.49,1091557,0.0,0.0
2016-11-24,5.48,5.63,5.47,5.59,2853728,0.0,0.0
2016-11-25,5.56,5.64,5.55,5.56,1968268,0.0,0.0
2016-11-28,5.6,5.6,5.56,5.57,892547,0.0,0.0
2016-11-29,5.58,5.61,5.55,5.57,1112911,0.0,0.0
2016-11-30,5.57,5.61,5.55,5.61,1805828,0.0,0.0
2016-12-01,5.61,5.64,5.6,5.61,1403443,0.0,0.0
2016-12-02,5.63,5.7,5.62,5.65,2898249,0.0,0.0
2016-12-05,5.68,5.69,5.6,5.6,1729781,0.0,0.0
2016-12-06,5.6,5.67,5.6,5.61,1270974,0.0,0.0
2016-12-07,5.62,5.65,5.6,5.6,1156090,0.0,0.0
