,合條件的個數
8103,2
8104,1
8105,2
8110,1
8112,3
8114,1
8131,4
8150,4
8163,0
8201,3
8210,3
8213,3
8215,1
8222,3
8249,2
8261,4
8271,3
8341,3
8367,1
8374,3
8404,3
8411,2
8422,4
8427,4
8429,2
8442,0
8443,0
8454,2
8462,2
8463,1
8464,4
8466,3
8467,1
8473,2
8478,0
8480,4
8481,4
8482,2
8488,0
8497,2
8499,4
8926,3
8940,1
8996,3
9802,2
9902,3
9904,1
9905,2
9906,0
9907,1
9908,2
9910,2
9911,3
9912,0
9914,2
9917,2
9918,4
9919,4
9921,2
9924,4
9925,1
9926,4
9927,2
9928,0
9929,1
9930,2
9931,2
9933,1
9934,2
9935,3
9937,2
9938,2
9939,1
9940,3
9941,1
9942,4
9943,4
9944,1
9945,2
9946,3
9955,1
9958,0
1240,3
1258,1
1259,1
1264,4
1268,1
1333,0
1336,1
1565,4
1569,0
1570,4
1580,3
1584,0
1586,1
1591,1
1593,4
1595,2
1597,2
1599,2
1742,3
1752,2
1777,3
1781,0
1784,2
1785,2
1788,4
1796,3
1799,2
1813,3
1815,3
2035,1
2061,2
2063,3
2064,1
2065,2
2066,1
2067,1
2070,1
2221,4
2230,1
2235,4
2596,2
2640,2
2641,1
2643,4
2718,1
2719,0
2724,0
2726,2
2729,2
2732,0
2734,0
2736,0
2740,0
2743,2
2745,3
2752,4
2916,2
2924,1
2926,0
2928,3
2937,3
3064,0
3066,0
3067,2
3071,2
3073,0
3078,3
3081,4
3083,3
3085,0
3086,1
3088,4
3089,2
3092,3
3093,4
3095,0
3105,2
3114,2
3115,2
3118,4
3122,3
3128,2
3131,2
3141,4
3144,2
3147,3
3152,4
3162,0
3163,1
3169,4
3171,3
3176,1
3178,2
3188,2
3191,2
3202,2
3205,2
3206,3
3207,0
3211,3
3213,3
3217,4
3218,3
3219,2
3221,2
3224,3
3226,4
3227,4
3228,2
3230,1
3232,3
3234,1
3236,2
3252,0
3259,0
3260,2
3264,3
3265,2
3268,2
3272,2
3276,0
3284,3
3285,3
3287,3
3288,1
3289,2
3290,2
3293,4
3294,2
3297,2
3303,3
3306,2
3310,0
3313,2
3317,3
3322,1
3323,1
3324,3
3325,3
3332,2
3339,2
3354,3
3360,1
3362,2
3363,3
3372,3
3373,6
3374,3
3379,1
3388,4
3390,3
3402,3
3426,3
3434,2
3438,3
3441,3
3444,4
3455,1
3465,2
3466,2
3479,3
3483,1
3484,1
3489,2
3490,2
3491,2
3492,4
3498,2
3499,2
3508,1
3511,3
3512,1
3516,2
3520,2
3521,1
3522,1
3523,0
3526,4
3527,2
3529,4
3531,2
3537,5
3540,1
3541,3
3546,4
3548,2
3551,4
3552,0
3555,2
3556,5
3558,3
3564,3
3567,4
3570,4
3577,2
3580,3
3581,2
3587,4
3594,1
3597,2
3609,3
3611,2
3615,2
3623,3
3624,2
3625,1
3628,0
3629,2
3630,2
3631,3
3632,1
3642,2
3646,3
3652,2
3663,3
3664,3
3666,3
3672,2
3675,0
3680,0
3684,3
3685,3
3687,1
3689,0
3691,0
3693,3
3707,2
3709,1
3710,0
3713,4
4102,4
4105,3
4107,4
4109,1
4111,4
4113,1
4114,1
4116,1
4120,3
4121,3
4123,1
4126,4
4127,0
4128,3
4129,1
4130,4
4131,0
4138,4
4139,1
4147,3
4152,1
4153,3
4154,4
4157,2
4160,3
4161,2
4162,3
4163,4
4167,1
4168,3
4171,4
4173,1
4174,2
4175,2
4183,3
4188,2
4192,2
4198,2
4205,5
4207,3
4303,3
4304,0
4305,5
4401,0
4402,1
4406,3
4413,3
4416,1
4417,2
4419,0
4420,2
4429,1
4430,0
4432,2
4433,0
4502,1
4503,3
4506,2
4510,2
4513,2
4523,1
4527,3
4528,1
4529,0
4530,2
4533,3
4534,2
4535,3
4538,3
4541,2
4542,2
4543,2
4549,3
4550,1
4554,3
4556,3
4561,3
4563,0
4568,3
4580,3
4609,1
4702,1
4706,4
4707,1
4711,4
4712,2
4714,4
4716,3
4721,4
4726,1
4728,5
4729,1
4735,5
4736,4
4741,2
4743,3
4744,3
4745,2
4747,3
4754,4
4760,3
4767,2
4803,2
4804,1
4806,1
4903,2
4905,2
4907,2
4908,4
4909,2
4911,3
4924,1
4931,4
4933,2
4939,2
4944,0
4946,0
4947,4
4950,2
4953,4
4966,4
4971,2
4972,2
4973,3
4974,4
4979,1
4987,2
4991,2
4995,4
5009,1
5011,1
5013,1
5014,0
5015,5
5016,4
5102,1
5201,5
5202,2
5205,0
5206,1
5209,2
5210,2
5211,3
5212,3
5213,0
5220,4
5223,2
5227,0
5230,1
5245,0
5251,3
5263,2
5272,3
5274,3
5276,3
5278,4
5281,1
5287,3
5289,4
5291,1
5299,3
5301,0
5302,0
5304,0
5306,3
5309,1
5310,0
5312,2
5314,2
5315,3
5321,1
5324,0
5328,2
5340,3
5344,2
5345,2
5347,5
5348,2
5349,1
5351,0
5353,4
5355,2
5356,2
5364,1
5371,1
5381,2
5383,2
5386,3
5392,1
5398,3
5403,3
5410,2
5425,1
5426,3
5432,3
5438,2
5439,4
5443,2
5450,1
5452,3
5455,2
5457,4
5460,3
5464,2
5465,3
5468,0
5474,4
5475,0
5478,3
5481,1
5483,3
5487,2
5488,2
5489,3
5490,3
5493,0
5498,2
5508,1
5511,2
5512,1
5514,3
5516,2
5520,4
5523,2
5529,1
5530,1
5536,3
5543,3
5601,2
5603,1
5604,2
5609,4
5701,0
5703,0
5704,3
5820,3
5864,3
5878,4
5902,2
5903,1
5904,2
5905,2
6015,2
6016,2
6020,3
6021,3
6023,2
6026,3
6101,3
6103,1
6104,3
6109,3
6111,4
6113,2
6114,3
6118,1
6121,3
6122,3
6123,4
6124,3
6125,1
6126,3
6127,1
6129,2
6130,1
6134,1
6138,4
6140,2
6143,1
6144,2
6146,4
6147,4
6148,3
6150,1
6151,3
6154,3
6156,2
6158,1
6160,3
6161,5
6163,1
6167,3
6169,1
6170,2
6171,1
6173,3
6174,3
6175,3
6179,2
6180,3
6182,3
6185,3
6186,3
6187,3
6188,4
6190,1
6194,2
6195,2
6198,2
6199,3
6203,4
6204,2
6207,2
6208,2
6210,4
6212,0
6217,2
6218,3
6219,0
6220,1
6221,2
6222,1
6223,4
6227,2
6228,0
6229,3
6231,4
6233,3
6234,1
6236,2
6237,3
6238,4
6240,1
6241,2
6242,2
6244,0
6245,3
6246,1
6247,1
6248,4
6259,2
6261,4
6263,4
6264,0
6265,3
6266,3
6270,4
6274,4
6275,1
6276,4
6279,1
6284,2
6287,0
6290,2
6291,3
6292,2
6294,4
6404,1
6411,4
6417,4
6418,3
6419,3
6425,1
6426,4
6432,2
6435,3
6438,1
6441,3
6446,2
6457,5
6461,1
6462,4
6465,2
6469,1
6470,4
6472,4
6482,3
6485,2
6486,4
6488,3
6492,3
6494,2
6496,2
6497 ,0
6499,2
6506,2
6508,4
6509,2
6510,4
6512,3
6514,2
6516,2
6523,4
6527,3
6530,4
6532,5
6535,2
6538,4
6542,5
6547,2
6548,4
6556,3
6560,3
6561,4
6568,4
6569,2
6570,4
6574,4
6576,2
6577,4
6578,2
6589,0
6590,4
6593,0
6594,3
6596,1
6603,1
6609,2
6612,5
6613,4
6615,3
6616,3
6624,3
6629,3
6640,2
6642,4
6643,4
6649,3
6654,2
6662,5
6664,2
6667,1
6679,4
6680,4
6683,4
6690,4
6697,4
6716,3
6803,4
7402,3
8024,3
8027,3
8032,2
8034,3
8038,3
8040,3
8042,2
8043,2
8044,2
8047,3
8048,3
8049,4
8050,2
8054,2
8059,2
8064,1
8066,2
8067,0
8068,0
8069,4
8071,1
8074,1
8076,2
8077,1
8080,0
8083,3
8084,0
8085,2
8086,4
8087,2
8088,5
8091,2
8092,0
8093,0
8096,1
8097,1
8099,2
8107,2
8109,4
8111,2
8121,1
8147,3
8155,3
8171,3
8176,1
8182,2
8183,2
8234,1
8240,1
8255,3
8277,2
8279,4
8287,0
8289,3
8291,0
8299,4
8342,2
8349,0
8354,1
8358,4
8383,3
8390,3
8401,3
8403,1
8406,1
8409,2
8410,4
8415,3
8416,4
8418,1
8420,1
8421,3
8423,3
8424,4
8426,2
8431,2
8432,4
8433,3
8435,4
8436,3
8437,4
8440,3
8444,0
8446,2
8450,2
8455,1
8472,1
8476,1
8477,4
8489,4
8905,0
8906,1
8908,2
8916,2
8917,4
8921,3
8923,2
8924,2
8927,1
8928,3
8929,3
8930,3
8931,2
8932,1
8933,0
8934,1
8935,0
8936,1
8937,3
8938,3
8941,0
8942,1
9949,3
9950,0
9951,3
9960,2
9962,2
