,Id,stockiid,buy,sell,blance,Latitude_and_Longitude
620,9337,2330,1521.2022499999996,-2520.635,-999.43275,"('24.9622483', '121.2526719')"
535,920H,2330,2729.0705,-3701.6775,-972.6070000000003,"('25.128216', '121.748688')"
461,8886,2330,4232.9259999999995,-5201.534500000002,-968.6085000000003,"('25.034632', '121.445934')"
121,2185,2330,3179.5985000000005,-4131.386500000001,-951.788,"('22.985499', '120.22163')"
183,5859,2330,4983.95325,-5920.71825,-936.7650000000003,"('22.677037', '120.490943')"
194,585Q,2330,1823.2854999999995,-2748.63525,-925.3497500000003,"('22.616124', '120.301354')"
120,2184,2330,6211.6757499999985,-7102.2247499999985,-890.5489999999991,"('24.785234', '121.012867')"
318,700G,2330,1233.1664999999996,-2120.66725,-887.5007500000003,"('23.1837571', '120.2514098')"
339,700g,2330,1233.1664999999996,-2120.66725,-887.5007500000003,"('25.028939', '121.521324')"
375,779W,2330,1831.11075,-2717.743,-886.6322500000001,"('24.0792447', '120.5295626')"
626,9358,2330,2969.5444999999995,-3832.032750000001,-862.4882500000017,"('24.259108', '120.829253')"
410,845B,2330,3299.618,-4126.77875,-827.1607500000005,"('24.999363', '121.517753')"
136,5268,2330,1201.7065,-2026.82275,-825.11625,"('23.001406', '120.196586')"
351,7031,2330,1890.76575,-2702.0315,-811.2657500000003,"('25.033075', '121.547814')"
730,982F,2330,4431.10675,-5238.5705,-807.4637499999999,"('25.04115', '121.556267')"
92,116r,2330,4707.066499999999,-5509.41075,-802.344250000001,"('25.027416', '121.471255')"
389,8152,2330,2329.8902499999995,-3122.5365,-792.6462500000008,"('25.023114', '121.425873')"
530,920C,2330,2063.0145,-2820.7145,-757.6999999999997,"('24.999522', '121.506772')"
185,585B,2330,6219.155250000002,-6957.663750000002,-738.5085000000007,"('25.007713', '121.514088')"
201,585b,2330,6219.155250000002,-6957.663750000002,-738.5085000000007,"('25.081197', '121.572679')"
251,592r,2330,7663.223499999997,-8393.378999999999,-730.1555000000008,"('25.052233', '121.533704')"
36,1111,2330,1842.32775,-2566.161,-723.8332499999998,"('24.143132', '120.67897')"
293,6463,2330,2411.538,-3131.6565,-720.1185000000005,"('24.806169', '120.967653')"
624,9349,2330,2363.7499999999995,-3075.88175,-712.1317500000005,"('25.00798', '121.460091')"
666,9692,2330,8385.4035,-9096.610750000003,-711.207250000003,"('23.482901', '120.445221')"
639,9622,2330,9739.33,-10448.3785,-709.0485000000008,"('24.785608', '121.01188')"
526,9207,2330,4295.3600000000015,-5000.915750000001,-705.5557500000003,"('24.996577', '121.514702')"
156,538C,2330,5127.3765,-5824.92125,-697.54475,"('25.048865', '121.557639')"
861,9A9q,2330,3316.4790000000007,-4013.7855,-697.3065000000001,"('22.552658', '120.538829')"
843,9A9Q,2330,3316.4790000000007,-4013.7855,-697.3065000000001,"('24.250022', '120.717933')"
212,5922,2330,5818.81875,-6501.1155,-682.2967499999995,"('24.979771', '121.544857')"
19,1036,2330,1620.0817499999996,-2300.9834999999994,-680.9017499999994,"('23.33321315', '121.31491742')"
45,111A,2330,2724.3874999999994,-3400.3575,-675.9700000000003,"('23.521418', '120.439797')"
482,913E,2330,2891.74825,-3530.7135000000007,-638.9652500000002,"('25.129819', '121.742367')"
487,913U,2330,2211.53725,-2832.59675,-621.0594999999997,"('24.178686', '120.686189')"
46,111B,2330,2633.45525,-3253.6977500000007,-620.2425000000002,"('25.052966', '121.518354')"
612,9326,2330,10044.8155,-10654.61275,-609.7972499999996,"('25.05165', '121.544548')"
83,116c,2330,2231.38475,-2839.07,-607.6852499999994,"('24.25337', '120.719767')"
63,116C,2330,2231.38475,-2839.07,-607.6852499999994,"('24.959964', '121.299709')"
539,920W,2330,2356.1987500000005,-2960.33575,-604.1369999999993,"('24.104291', '120.688566')"
699,981K,2330,1226.34775,-1820.84625,-594.4985000000001,"('22.501173', '120.397642')"
436,8710,2330,3770.833750000001,-4365.0185,-594.1847499999994,"('25.059206', '121.564126')"
549,921F,2330,1286.7899999999995,-1866.4885,-579.6985000000004,"('25.119042', '121.53085')"
218,5929,2330,4404.8957500000015,-4963.128750000002,-558.2330000000002,"('22.991223', '120.20254')"
840,9A9M,2330,1902.5244999999993,-2448.7987499999995,-546.2742499999998,"('23.907054', '120.68785')"
788,9899,2330,5116.592000000001,-5653.784000000001,-537.192,"('25.16956618', '121.44092193')"
654,965U,2330,2847.57925,-3383.7964999999995,-536.2172499999997,"('24.074442', '120.5434769')"
580,9273,2330,2800.417000000001,-3328.3375,-527.9204999999997,"('24.742226', '121.085452')"
276,616A,2330,2569.0170000000003,-3095.07025,-526.0532500000004,"('24.955629', '121.225632')"
258,5961,2330,951.3660000000001,-1472.1469999999995,-520.7809999999997,"('23.972519', '120.969331')"
173,5660,2330,3191.2542500000004,-3711.25075,-519.9964999999997,"('24.560325', '120.821991')"
471,9103,2330,7366.027500000001,-7874.2235,-508.195999999999,"('25.051362', '121.555681')"
859,9A9i,2330,1964.69575,-2471.7345,-507.03875,"('24.978049', '121.542901')"
1,1021,2330,12165.96325,-12670.054499999998,-504.09124999999773,"('24.138041', '120.679355')"
383,779r,2330,3055.69475,-3549.2477500000014,-493.55300000000125,"('24.993498', '121.311696')"
199,585Y,2330,4545.0909999999985,-5037.267,-492.1760000000013,"('24.986118', '121.452036')"
414,845J,2330,2526.0527500000007,-3012.7405,-486.6877499999996,"('22.630603', '120.308499')"
170,5602,2330,2509.841,-2990.98525,-481.1442500000003,"('24.182597', '120.666064')"
146,5381,2330,2559.71875,-3038.688,-478.9692499999997,"('23.95892167', '120.57429326')"
433,8586,2330,1822.52075,-2298.64275,-476.1220000000003,"('25.01371', '121.31212')"
138,526A,2330,1310.75825,-1782.33075,-471.5725,"('24.990765', '121.511921')"
853,9A9c,2330,5277.364749999999,-5738.63575,-461.2710000000016,"('23.009846', '120.232911')"
832,9A9C,2330,5277.364749999999,-5738.63575,-461.2710000000016,"('23.9631111', '120.5798179')"
353,7033,2330,862.0359999999997,-1320.04675,-458.01075000000014,"('22.988819', '120.207512')"
207,5861,2330,620.1665,-1078.0235,-457.857,"('22.6093', '120.335153')"
88,116i,2330,6217.20275,-6674.56875,-457.36600000000084,"('24.991178', '121.423086')"
68,116I,2330,6217.20275,-6674.56875,-457.36600000000084,"('25.051903', '121.529399')"
803,989U,2330,6214.4085,-6670.01075,-455.60224999999986,"('24.342578', '120.62267')"
137,5269,2330,2492.96675,-2937.3015,-444.33475,"('24.171148', '120.685678')"
517,918s,2330,2226.8455,-2665.75975,-438.9142500000002,"('25.026434', '121.418359')"
274,6167,2330,3921.59575,-4355.2707500000015,-433.6750000000001,"('25.05819', '121.532895')"
217,5928,2330,2070.18475,-2503.82225,-433.63750000000033,"('25.043004', '121.444391')"
283,6385,2330,972.58175,-1402.4029999999998,-429.8212499999997,"('24.0260209', '120.5374423')"
208,5862,2330,554.33625,-982.3769999999997,-428.04074999999983,"('22.726169', '120.326474')"
775,9884,2330,2546.01,-2973.74325,-427.73325000000017,"('23.711079', '120.546716')"
264,6114,2330,2273.9169999999995,-2698.315750000001,-424.3987500000012,"('23.95892167', '120.57429326')"
829,9A99,2330,1852.289,-2264.9105000000004,-412.62150000000037,"('24.959628', '121.224713')"
190,585I,2330,1146.1225,-1555.72075,-409.59825,"('23.95892167', '120.57429326')"
329,700U,2330,4200.34625,-4603.07375,-402.7275,"('24.981434', '121.319652')"
577,9266,2330,2673.3625,-3074.585,-401.2225000000003,"('24.875719', '120.994973')"
431,8584,2330,1500.69,-1888.96275,-388.2727499999999,"('24.997629', '121.515972')"
701,981M,2330,1702.8584999999996,-2090.084,-387.2255,"('24.559694', '120.82161')"
716,981m,2330,1702.8584999999996,-2090.084,-387.2255,"('22.629354', '120.296668')"
236,592X,2330,3536.6657499999988,-3922.323,-385.65725000000015,"('23.979129', '120.685121')"
75,116Q,2330,1969.43775,-2345.228,-375.7902500000001,"('23.8999522', '120.3674833')"
576,9258,2330,1519.85875,-1895.51125,-375.65250000000015,"('24.679682', '121.771917')"
309,7006,2330,5938.16,-6313.32525,-375.16525,"('22.991197', '120.202862')"
102,126H,2330,1082.5455,-1452.8472499999998,-370.3017499999999,"('25.00134', '121.482906')"
571,9252,2330,3400.2509999999997,-3763.383,-363.13200000000006,"('23.473485', '120.443919')"
125,5058,2330,573.7602499999998,-933.72275,-359.9625,"('23.003724', '120.204026')"
662,9676,2330,18806.556,-19160.903250000007,-354.34725000000253,"('25.037318', '121.538465')"
203,585g,2330,2802.52175,-3144.7870000000003,-342.26524999999987,"('24.959096', '121.211685')"
377,779Z,2330,71696.56025000001,-72030.43275,-333.8724999999977,"('25.03292', '121.555987')"
386,779z,2330,71696.56025000001,-72030.43275,-333.8724999999977,"('25.04601', '121.51133')"
58,1167,2330,2211.4715000000006,-2543.025,-331.55349999999913,"('23.467891', '120.437834')"
405,8455,2330,5081.2337499999985,-5410.714750000001,-329.48100000000164,"('24.153716', '120.677632')"
585,9281,2330,746.433,-1074.79375,-328.36075000000005,"('23.70978', '120.547783')"
16,1033,2330,1484.48625,-1791.7779999999998,-307.29174999999987,"('22.626134', '120.284885')"
605,9316,2330,2421.65175,-2726.46125,-304.8094999999998,"('25.1691647', '121.4422402')"
100,1262,2330,8312.4485,-8615.703000000001,-303.2544999999991,"('25.01761', '121.29755')"
180,5856,2330,6675.3317499999985,-6977.231749999999,-301.89999999999964,"('24.139845', '120.65605')"
300,6912,2330,2268.05925,-2551.3245,-283.2652499999995,"('24.147801', '120.674211')"
165,538Y,2330,2200.16075,-2468.6534999999994,-268.49274999999943,"('24.958252', '121.217556')"
489,913g,2330,2676.4005,-2941.8245,-265.4239999999995,"('25.059538', '121.498365')"
670,969C,2330,3225.5515,-3489.48775,-263.9362500000006,"('23.568128', '120.301917')"
360,7080,2330,983.14125,-1242.298,-259.1567500000001,"('24.952815', '121.206495')"
761,9862,2330,16243.391000000001,-16501.523,-258.1320000000014,"('25.052117', '121.543075')"
707,981V,2330,1401.9975,-1657.931,-255.93350000000007,"('23.55569835', '120.4259518')"
8,102A,2330,2188.836,-2443.82925,-254.9932499999996,"('24.804306', '120.972705')"
285,638A,2330,2186.6279999999997,-2438.51475,-251.8867499999997,"('23.465509', '120.244779')"
312,7009,2330,3228.3715,-3478.7005,-250.3289999999997,"('24.993284', '121.541138')"
202,585c,2330,6492.135999999999,-6737.945749999999,-245.80975000000038,"('25.039141', '121.550426')"
722,981z,2330,2209.11875,-2454.24575,-245.12699999999995,"('24.798967', '120.963883')"
709,981Z,2330,2209.11875,-2454.24575,-245.12699999999995,"('22.556637', '120.540471')"
256,592z,2330,3096.56975,-3331.47475,-234.90499999999975,"('24.162041', '120.648356')"
238,592Z,2330,3096.56975,-3331.47475,-234.90499999999975,"('23.047005', '120.185203')"
340,700h,2330,3950.92925,-4184.444250000001,-233.5150000000008,"('22.640347', '120.327423')"
319,700H,2330,3950.92925,-4184.444250000001,-233.5150000000008,"('25.032849', '121.527235')"
74,116P,2330,4244.306,-4468.037,-223.73100000000068,"('25.028846', '121.557306')"
302,6914,2330,2807.2155,-3024.40725,-217.19175,"('25.058498', '121.486514')"
352,7032,2330,2905.6709999999994,-3122.37,-216.69900000000047,"('23.1592112', '120.1750808')"
385,779v,2330,3136.86725,-3348.32475,-211.45749999999958,"('24.156736', '120.646221')"
374,779V,2330,3136.86725,-3348.32475,-211.45749999999958,"('22.667867', '120.319003')"
289,6452,2330,1702.3877499999994,-1913.30025,-210.91250000000042,"('24.966342', '121.300985')"
717,981n,2330,1679.6029999999996,-1887.0562500000005,-207.45325000000045,"('22.887912', '120.482184')"
702,981N,2330,1679.6029999999996,-1887.0562500000005,-207.45325000000045,"('24.43867379', '118.31949433')"
252,592u,2330,6052.2505,-6258.5825,-206.3320000000004,"('25.032867', '121.560584')"
233,592U,2330,6052.2505,-6258.5825,-206.3320000000004,"('24.75911661', '121.7557037')"
301,6913,2330,1109.579,-1307.87875,-198.29974999999993,"('23.300368', '120.310234')"
266,6116,2330,1373.7492500000005,-1565.95825,-192.20899999999986,"('22.681811', '120.304722')"
298,6620,2330,1011.4185,-1202.691,-191.27250000000004,"('24.99211', '121.306313')"
631,9377,2330,2863.9082499999995,-3053.33375,-189.42550000000026,"('23.709672', '120.438683')"
14,1031,2330,7207.517000000003,-7394.988750000001,-187.4717499999997,"('24.138261', '120.679929')"
76,116S,2330,1027.51925,-1209.6504999999995,-182.13124999999968,"('25.034637', '121.445981')"
93,116s,2330,1027.51925,-1209.6504999999995,-182.13124999999968,"('24.974325', '121.441609')"
344,700m,2330,10126.13675,-10294.65725,-168.52049999999872,"('25.043085', '121.530934')"
324,700M,2330,10126.13675,-10294.65725,-168.52049999999872,"('24.993091', '121.313868')"
680,980e,2330,2636.52575,-2793.2647500000007,-156.7390000000005,"('24.270212', '120.576176')"
731,9831,2330,6828.0865,-6981.78075,-153.69424999999956,"('22.616476', '120.302439')"
357,7038,2330,1298.7425,-1451.85325,-153.11075000000002,"('25.051192', '121.563737')"
96,1232,2330,3137.4425,-3290.3660000000004,-152.9235000000003,"('22.634534', '120.306533')"
142,5321,2330,4147.536999999998,-4291.783750000001,-144.24675000000116,"('24.8634868', '121.2137423')"
356,7036,2330,2340.417000000001,-2482.6042499999994,-142.18724999999904,"('22.625287', '120.315398')"
62,116B,2330,5064.86825,-5205.469749999998,-140.60149999999885,"('24.957677', '121.225147')"
82,116b,2330,5064.86825,-5205.469749999998,-140.60149999999885,"('24.801218', '120.994762')"
692,981B,2330,4660.657000000001,-4799.4555,-138.79849999999894,"('24.82648', '121.01033')"
119,2181,2330,4474.42175,-4611.073750000001,-136.65200000000095,"('24.995085', '121.45107')"
745,983Z,2330,3268.12925,-3402.5235,-134.39425000000028,"('22.59565', '120.331133')"
621,9339,2330,2451.79075,-2578.6505,-126.85975000000008,"('24.8215', '121.02711')"
316,700E,2330,1851.13525,-1975.2685,-124.13324999999963,"('23.676456', '120.47815')"
604,9315,2330,1398.4260000000002,-1520.42025,-121.99424999999997,"('24.44224', '120.655678')"
292,6462,2330,2659.309,-2778.5962500000005,-119.2872500000003,"('24.965247', '121.517045')"
123,2187,2330,1566.60075,-1662.93325,-96.33249999999998,"('24.141897', '120.683795')"
204,585m,2330,4538.39325,-4632.44375,-94.05050000000028,"('24.683574', '120.873834')"
192,585M,2330,4538.39325,-4632.44375,-94.05050000000028,"('25.082812', '121.523617')"
507,918L,2330,2503.45125,-2596.94225,-93.49100000000044,"('24.130503', '120.687954')"
714,981i,2330,8417.007999999998,-8506.9435,-89.93550000000141,"('23.801309', '120.460379')"
698,981I,2330,8417.007999999998,-8506.9435,-89.93550000000141,"('25.118368', '121.526696')"
41,1116,2330,1515.41125,-1596.8815,-81.47024999999985,"('22.670295', '120.489952')"
703,981Q,2330,3174.526000000001,-3249.38975,-74.86374999999907,"('24.130008', '120.720227')"
719,981q,2330,3174.526000000001,-3249.38975,-74.86374999999907,"('25.035943', '121.499195')"
820,9A69,2330,2874.717,-2948.2575,-73.54050000000007,"('22.6752514', '120.4874519')"
641,9624,2330,5101.892749999999,-5168.926750000001,-67.03400000000147,"('24.82891', '121.00594')"
508,918M,2330,6785.624750000001,-6852.428000000001,-66.80324999999903,"('23.474368', '120.458653')"
370,779G,2330,2560.25275,-2622.4625,-62.20974999999999,"('25.03685', '121.452109')"
315,700D,2330,2373.95625,-2434.468250000001,-60.51200000000063,"('23.799864', '120.461031')"
337,700d,2330,2373.95625,-2434.468250000001,-60.51200000000063,"('24.0802419', '120.5401959')"
162,538N,2330,3445.923750000001,-3505.6630000000005,-59.73925000000008,"('24.250733', '120.71423')"
141,5320,2330,5777.511999999999,-5836.667249999999,-59.155249999999796,"('24.954845', '121.228327')"
600,9308,2330,6572.792,-6629.578250000001,-56.78625000000102,"('23.183821', '120.247369')"
557,9225,2330,1506.3725,-1561.4242499999998,-55.051749999999856,"('22.618303', '120.565301')"
556,9224,2330,1296.90125,-1347.10525,-50.20400000000018,"('25.024007', '121.423921')"
215,5926,2330,2055.73675,-2096.6667499999994,-40.92999999999938,"('22.616413', '120.30044')"
307,7003,2330,4272.766750000002,-4312.465249999998,-39.6984999999986,"('24.139845', '120.65605')"
592,9296,2330,2029.81825,-2068.4805,-38.662249999999865,"('24.68636369', '120.91302342')"
396,815H,2330,1839.36875,-1877.76625,-38.397500000000036,"('22.672929', '120.499449')"
135,5267,2330,986.4060000000001,-1020.211,-33.805000000000064,"('25.131994', '121.745184')"
435,8588,2330,876.5827499999998,-909.64025,-33.05750000000012,"('22.980796', '120.230204')"
