Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,5.62,5.7,5.6,5.7,48647,0,0
2016-01-05,5.6,5.6,5.51,5.51,15526,0,0
2016-01-06,5.51,5.51,5.46,5.46,8280,0,0
2016-01-07,5.32,5.53,5.22,5.53,38297,0,0
2016-01-08,5.51,5.51,5.34,5.34,9315,0,0
2016-01-11,5.41,5.54,5.39,5.43,41402,0,0
2016-01-12,5.3,5.34,5.3,5.34,9315,0,0
2016-01-13,5.27,5.27,5.02,5.17,153188,0,0
2016-01-14,5.17,5.17,4.93,4.94,49682,0,0
2016-01-15,5.02,5.29,5.02,5.29,11386,0,0
2016-01-18,5.03,5.26,5.02,5.26,18631,0,0
2016-01-19,5.12,5.22,5.12,5.22,33122,0,0
2016-01-20,5.25,5.28,5.15,5.28,8280,0,0
2016-01-21,5.14,5.22,5.02,5.22,25876,0,0
2016-01-22,5.22,5.27,5.12,5.12,17596,0,0
2016-01-25,5.12,5.12,5.12,5.12,27946,0,0
2016-01-26,5.12,5.12,5.12,5.12,4140,0,0
2016-01-27,5.46,5.46,5.44,5.44,2070,0,0
2016-01-28,5.17,5.43,5.17,5.31,40367,0,0
2016-01-29,5.6,5.6,5.22,5.22,42437,0,0
2016-02-01,5.6,5.7,5.41,5.51,73489,0,0
2016-02-02,5.31,5.36,5.31,5.36,6210,0,0
2016-02-03,5.24,5.89,5.17,5.6,136627,0,0
2016-02-15,5.31,5.51,5.27,5.31,176994,0,0
2016-02-16,5.31,5.51,5.31,5.5,87979,0,0
2016-02-17,5.5,5.5,5.31,5.35,61068,0,0
2016-02-18,5.35,5.35,5.24,5.24,28981,0,0
2016-02-19,5.07,5.29,5.07,5.13,12421,0,0
2016-02-22,5.24,5.31,5.13,5.22,65208,0,0
2016-02-23,5.5,5.5,5.17,5.17,55893,0,0
2016-02-24,5.27,5.31,5.17,5.22,16561,0,0
2016-02-25,5.22,5.36,5.12,5.26,44507,0,0
2016-02-26,5.31,5.31,5.02,5.31,79699,0,0
2016-03-01,5.3,5.36,5.07,5.07,44507,0,0
2016-03-02,5.13,5.27,5.12,5.18,74524,0,0
2016-03-03,5.28,5.28,5.1,5.27,91085,0,0
2016-03-04,5.25,5.25,5.16,5.17,22771,0,0
2016-03-07,5.13,5.15,5.12,5.12,53823,0,0
2016-03-08,5.12,5.24,5.1,5.24,57963,0,0
2016-03-09,5.23,5.23,5.03,5.2,16561,0,0
2016-03-10,5.19,5.19,4.93,5.12,33122,0,0
2016-03-11,5.12,5.12,5.02,5.07,25876,0,0
2016-03-14,5.22,5.22,5.03,5.11,8280,0,0
2016-03-15,5.11,5.11,4.93,4.93,117996,0,0
2016-03-16,4.83,5.02,4.73,5.02,137662,0,0
2016-03-17,5.02,5.02,4.74,4.74,80734,0,0
2016-03-18,4.77,4.77,4.73,4.73,46577,0,0
2016-03-21,5.12,5.21,4.94,5.02,61068,0,0
2016-03-22,4.94,4.94,4.86,4.86,41402,0,0
2016-03-23,4.86,4.86,4.83,4.83,15526,0,0
2016-03-24,4.83,4.93,4.75,4.75,27946,0,0
2016-03-25,4.75,4.77,4.75,4.75,7245,0,0
2016-03-28,4.73,4.73,4.73,4.73,37262,0,0
2016-03-29,4.76,4.76,4.73,4.73,35192,0,0
2016-03-30,4.92,4.92,4.74,4.74,6210,0,0
2016-03-31,4.83,4.83,4.75,4.75,28981,0,0
2016-04-01,5.01,5.01,4.83,4.88,32087,0,0
2016-04-06,4.64,4.74,4.64,4.73,35192,0,0
2016-04-07,4.73,4.76,4.73,4.76,35192,0,0
2016-04-08,4.76,4.76,4.74,4.75,17596,0,0
2016-04-11,4.59,4.72,4.59,4.64,24841,0,0
2016-04-12,4.64,4.64,4.55,4.64,47612,0,0
2016-04-13,4.64,4.65,4.64,4.64,22771,0,0
2016-04-14,4.64,4.73,4.59,4.73,52788,0,0
