Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,7.3308,7.4789,7.316,7.316,25658,0,0.0
2016-01-05,7.4493,7.4493,7.1827,7.3901,23633,0,0.0
2016-01-06,7.4345,7.4345,7.1679,7.3308,18231,0,0.0
2016-01-07,7.4493,7.4493,7.0346,7.242,31735,0,0.0
2016-01-08,7.242,7.2568,7.1087,7.2568,4726,0,0.0
2016-01-11,6.9606,7.2272,6.9606,7.2272,8777,0,0.0
2016-01-12,7.2272,7.2272,6.931,6.9606,17555,0,0.0
2016-01-13,6.9606,7.1975,6.7681,6.9754,41864,0,0.0
2016-01-14,6.7088,7.0346,6.7088,6.7977,51317,0,0.0
2016-01-15,6.7977,7.1235,6.383,6.694,33086,0,0.0
2016-01-18,6.6792,6.7236,6.6644,6.7236,14855,0,0.0
2016-01-19,6.7088,6.931,6.7088,6.7977,20932,0,0.0
2016-01-20,6.7977,7.3012,6.7977,7.0939,60770,0,0.0
2016-01-21,7.2864,7.3308,7.005,7.1087,58069,0,0.0
2016-01-22,6.9754,7.1679,6.9754,7.1679,8102,0,0.0
2016-01-25,7.3012,7.3012,7.0346,7.0346,42539,0,0.0
2016-01-26,7.0346,7.1679,6.931,6.931,12154,0,0.0
2016-01-27,6.9458,6.9458,6.8569,6.8569,16880,0,0.0
2016-01-28,6.8569,7.0791,6.8569,7.0494,31735,0,0.0
2016-01-29,7.316,7.316,7.1087,7.1087,49291,0,0.0
2016-02-01,7.1975,7.316,7.1087,7.1383,19581,0,0.0
2016-02-02,7.1383,7.3012,7.1383,7.1531,21607,0,0.0
2016-02-03,7.1531,7.2568,7.0346,7.1531,22957,0,0.0
2016-02-15,7.1087,7.316,7.1087,7.2272,13504,0,0.0
2016-02-16,7.2272,7.938,7.2272,7.8492,365974,0,0.0
2016-02-17,7.8492,7.9084,7.7011,7.7455,120190,0,0.0
2016-02-18,7.8492,7.9232,7.553,7.553,155978,0,0.0
2016-02-19,7.553,7.864,7.4937,7.553,59420,0,0.0
2016-02-22,7.4049,7.627,7.4049,7.5974,116139,0,0.0
2016-02-23,7.5974,7.7011,7.5974,7.6567,93856,0,0.0
2016-02-24,7.8936,7.8936,7.553,7.5826,56719,0,0.0
2016-02-25,7.5826,7.7307,7.553,7.5678,79001,0,0.0
2016-02-26,7.5678,7.6863,7.553,7.553,50642,0,0.0
2016-03-01,7.553,7.6418,7.5234,7.553,19581,0,0.0
2016-03-02,7.4937,7.6122,7.4937,7.553,50642,0,0.0
2016-03-03,7.5234,7.5974,7.5234,7.5826,37812,0,0.0
2016-03-04,7.4789,7.627,7.4789,7.627,39163,0,0.0
2016-03-07,7.5678,7.7751,7.4937,7.6567,147200,0,0.0
