stockiid,Booling,Booling_trade,追隨外資,forei_trade,追隨投信,invers_trade,KD 交叉,KD_trade,MACD 交叉,MACD_trade,均線交叉,MA_trade,type,Price
6482,-0.9044,25,0.00,4,0.00,0,0.07,47,-0.20,12,0.71,40,文化創意業,TWO
6542,1.8054,47,3.20,54,0.00,0,1.90,43,0.14,14,-0.49,39,文化創意業,TWO
6596,-0.242,20,-2.44,22,0.00,0,0.64,34,-0.14,10,-0.13,32,文化創意業,TWO
8446,-0.0404,27,-3.62,189,-9.18,23,0.38,45,-0.16,13,0.11,39,文化創意業,TWO
8450,-0.8763,39,-0.44,55,-0.31,4,0.10,48,-1.04,13,-0.56,42,文化創意業,TWO
8489,-0.1076,20,-3.47,105,-4.18,30,1.38,43,0.25,16,-0.93,36,文化創意業,TWO
8923,0.1424,23,0.00,0,0.00,0,0.22,40,0.07,9,0.16,34,文化創意業,TWO
9949,1.579,26,0.00,1,0.00,0,0.75,46,0.01,16,0.26,38,文化創意業,TWO
1101,-0.0593,27,0.18,116,3.85,190,0.73,49,0.09,14,0.64,50,水泥工業,TW
1102,0.3691,17,0.17,181,-2.77,167,0.92,49,0.08,15,0.34,41,水泥工業,TW
1103,1.0579,18,0.73,151,0.00,0,1.62,42,0.33,16,0.63,42,水泥工業,TW
1104,-0.5879,32,-0.04,47,0.00,0,0.36,47,-0.24,15,-0.02,39,水泥工業,TW
1108,0.0531,33,-1.02,84,0.00,0,0.73,49,-0.10,14,-0.10,40,水泥工業,TW
1109,0.8577,23,-0.40,89,0.00,0,1.15,53,0.26,14,0.67,43,水泥工業,TW
1110,1.1287,46,-0.18,16,0.00,0,0.24,61,-0.16,13,0.45,46,水泥工業,TW
2302,3.0793,27,1.12,30,0.00,0,1.36,47,0.25,15,0.22,46,半導體業,TW
2303,0.4466,19,2.96,191,-1.08,96,0.67,50,0.09,17,0.53,42,半導體業,TW
2329,0.5986,27,2.27,142,-0.36,7,1.56,48,0.53,16,0.99,42,半導體業,TW
2330,0.6368,19,2.60,186,4.86,138,0.97,53,0.20,17,0.52,45,半導體業,TW
2337,1.3646,22,64.21,186,28.66,125,3.57,53,1.93,15,0.73,43,半導體業,TW
2338,2.2754,25,0.61,107,-0.44,6,2.15,44,0.97,14,0.51,39,半導體業,TW
2342,-0.3094,20,2.29,100,0.00,0,6.39,41,1.42,16,3.04,46,半導體業,TW
2344,0.3768,25,1.24,148,5.62,95,1.85,44,0.49,17,0.18,39,半導體業,TW
2351,2.0341,25,-0.31,123,0.64,82,1.74,53,0.28,16,-0.01,41,半導體業,TW
2363,3.8288,22,5.39,139,0.00,0,1.71,54,0.62,17,0.73,44,半導體業,TW
2369,1.0242,22,1.46,125,-0.39,4,0.90,44,0.16,18,0.51,49,半導體業,TW
2379,1.1698,16,3.27,199,8.25,130,1.14,53,0.66,14,1.04,47,半導體業,TW
2388,1.198,19,10.29,144,-0.58,4,2.20,51,0.50,15,1.12,49,半導體業,TW
2401,0.5981,22,1.66,160,0.00,2,0.63,49,-0.10,15,0.30,44,半導體業,TW
2408,-0.1912,24,1.50,154,4.17,155,1.32,48,0.46,15,0.29,46,半導體業,TW
2434,0.4956,36,2.10,31,0.00,0,1.35,51,-0.31,13,0.95,44,半導體業,TW
2436,1.0316,15,-3.41,194,0.00,2,0.75,47,0.60,20,1.22,49,半導體業,TW
2441,-0.1517,11,-0.03,111,-0.31,29,0.74,50,0.26,14,0.11,39,半導體業,TW
2449,0.5898,21,-2.67,161,0.34,93,1.15,50,-0.08,15,0.62,47,半導體業,TW
2451,-0.2962,28,-0.40,98,-0.91,56,0.17,47,-0.22,13,0.28,46,半導體業,TW
2454,0.2587,22,0.86,173,8.91,225,1.13,50,0.53,14,0.66,43,半導體業,TW
2458,1.5465,14,5.12,225,1.76,82,1.49,53,0.81,17,0.83,41,半導體業,TW
2481,0.3456,15,1.78,148,2.34,60,2.50,47,0.42,18,-0.19,37,半導體業,TW
3006,3.2524,29,1.40,201,-0.44,12,1.19,46,0.96,17,0.17,43,半導體業,TW
3014,1.5973,24,7.14,176,0.51,3,1.02,48,0.62,16,0.19,43,半導體業,TW
3016,1.2483,22,6.03,65,-1.48,25,2.62,45,1.10,18,0.35,43,半導體業,TW
3034,1.3379,22,1.38,159,5.37,154,1.06,49,0.27,16,0.78,47,半導體業,TW
3035,0.7639,17,16.22,160,-4.58,60,1.55,54,0.59,16,0.71,45,半導體業,TW
3041,1.1488,16,2.87,199,0.21,23,1.52,45,-0.08,16,0.57,45,半導體業,TW
3054,0.8817,32,-0.80,47,0.00,0,0.69,50,-0.01,19,0.76,49,半導體業,TW
3094,0.4258,22,-5.35,149,0.00,0,0.72,49,-0.10,17,0.41,44,半導體業,TW
3189,2.1499,24,-2.01,138,0.10,64,1.72,45,1.44,18,-0.43,39,半導體業,TW
3257,0.9762,28,2.52,132,0.00,1,1.29,46,-0.23,13,0.30,43,半導體業,TW
3413,0.4916,17,7.72,181,6.86,81,3.35,47,0.51,18,-0.05,42,半導體業,TW
3443,1.4956,17,3.17,146,5.98,170,3.02,46,0.53,20,1.24,51,半導體業,TW
3530,1.1039,15,-1.79,44,0.00,0,1.47,25,0.80,9,-0.14,27,半導體業,TW
3532,3.0345,26,11.62,150,-1.89,111,2.63,46,2.03,17,1.65,41,半導體業,TW
3536,-3.9318,35,-1.50,67,0.00,0,0.31,47,-1.38,11,-0.17,43,半導體業,TW
3545,0.3647,30,-2.70,158,1.32,29,1.12,49,0.41,16,0.77,50,半導體業,TW
3583,0.7192,26,0.23,149,2.69,42,1.14,47,-0.08,16,0.25,43,半導體業,TW
3588,1.3709,20,8.08,160,0.00,0,0.75,43,0.06,19,0.67,48,半導體業,TW
3661,1.3848,14,3.12,81,9.89,106,2.81,52,0.23,16,2.01,46,半導體業,TW
3686,0.0129,34,8.56,115,0.00,0,2.41,43,-0.40,14,1.44,44,半導體業,TW
3711,0.6751,16,-1.94,86,-1.29,111,0.55,31,-0.09,8,-0.15,23,半導體業,TW
4919,1.6302,27,-0.39,114,0.95,53,1.46,43,0.14,16,0.30,43,半導體業,TW
4952,-0.0031,22,1.20,137,-0.11,1,0.41,49,-0.20,15,0.25,50,半導體業,TW
4961,-0.3375,9,-2.36,78,0.00,2,0.34,22,-0.27,7,0.61,24,半導體業,TW
4967,0.8016,7,1.12,52,0.00,0,1.22,16,0.28,5,0.66,16,半導體業,TW
4968,-0.0473,25,3.29,105,21.51,108,2.19,49,0.23,14,0.19,40,半導體業,TW
5269,2.1558,20,9.27,168,5.38,138,1.73,56,0.79,17,1.24,43,半導體業,TW
5285,0.9107,19,11.28,198,1.49,4,0.47,51,0.13,16,0.48,48,半導體業,TW
5305,0.7821,22,4.99,186,0.08,20,1.21,42,0.37,13,0.77,47,半導體業,TW
5471,0.6621,28,2.22,202,0.04,4,1.12,50,0.24,16,0.50,43,半導體業,TW
6202,0.8998,26,1.28,227,0.09,5,0.88,53,0.17,16,0.54,47,半導體業,TW
6239,0.8336,14,3.71,155,-1.46,100,1.07,45,0.31,18,0.10,42,半導體業,TW
6243,0.7056,34,-4.69,96,0.00,0,0.52,52,-0.21,13,0.91,46,半導體業,TW
6257,0.5319,17,-1.30,159,-0.08,23,0.83,51,0.53,15,0.52,45,半導體業,TW
6271,1.042,19,-1.64,130,1.31,149,1.06,45,0.57,18,1.24,46,半導體業,TW
6415,2.0555,19,-14.96,275,6.18,95,1.77,59,0.42,15,1.44,46,半導體業,TW
6451,0.4612,22,4.70,88,1.87,25,2.47,47,0.08,14,0.52,44,半導體業,TW
6525,0.9826,28,0.52,151,3.30,44,0.80,45,0.77,14,0.36,46,半導體業,TW
6531,-0.3671,28,9.02,146,-2.57,26,3.34,44,1.63,14,-0.10,41,半導體業,TW
6533,2.5687,20,2.56,69,0.00,0,0.97,45,0.05,15,0.97,42,半導體業,TW
6552,-0.7341,19,-0.06,88,3.59,26,1.54,49,0.20,13,1.08,49,半導體業,TW
6573,-0.4325,19,-2.55,51,0.00,0,0.93,37,-0.03,14,0.16,39,半導體業,TW
8016,-0.0532,23,5.14,130,0.65,85,1.68,47,-0.21,11,0.28,49,半導體業,TW
8028,0.8157,14,5.15,66,2.34,13,0.92,24,0.70,9,0.12,25,半導體業,TW
8081,1.7529,15,-6.72,225,2.15,19,1.18,52,0.57,15,0.61,43,半導體業,TW
8110,0.0679,26,0.64,124,-0.07,2,0.93,50,-0.08,16,0.33,44,半導體業,TW
8131,0.6847,20,7.37,160,-0.62,16,0.91,51,0.56,13,0.08,45,半導體業,TW
8150,0.8993,30,7.66,147,0.51,52,0.67,51,0.18,16,0.36,41,半導體業,TW
8261,1.036,19,2.80,89,0.00,1,1.16,52,0.74,16,0.77,47,半導體業,TW
8271,0.8687,19,-2.91,178,0.18,3,0.87,50,0.48,15,0.55,43,半導體業,TW
3073,1.7078,30,0.07,3,0.00,0,2.27,46,-0.16,16,0.49,48,半導體業,TWO
3105,1.3091,18,4.07,134,7.47,204,1.04,50,0.23,15,1.86,49,半導體業,TWO
3122,1.6628,34,0.00,1,0.00,0,0.55,52,0.07,14,0.52,46,半導體業,TWO
3141,0.7176,31,1.83,106,-4.23,31,1.03,48,-0.65,16,0.30,45,半導體業,TWO
3169,0.9514,21,2.91,120,0.00,0,0.99,45,0.42,16,0.76,53,半導體業,TWO
3219,3.6656,25,0.00,7,0.00,0,0.77,24,-0.56,7,0.52,24,半導體業,TWO
3227,1.0498,23,0.49,111,-4.59,95,2.09,44,-0.00,15,1.06,47,半導體業,TWO
3228,1.6929,28,8.46,75,0.00,0,1.70,52,0.80,15,0.60,44,半導體業,TWO
3259,1.0686,35,0.53,23,0.00,0,1.26,46,-0.02,14,-0.29,40,半導體業,TWO
3260,-0.6644,22,7.10,177,-9.04,43,1.25,46,0.10,15,-0.18,46,半導體業,TWO
3264,1.5589,15,2.96,140,-5.93,93,1.14,53,0.64,17,0.04,43,半導體業,TWO
3265,1.0787,20,1.28,132,0.07,2,0.74,51,0.17,15,0.17,49,半導體業,TWO
3268,1.1944,26,0.00,0,0.00,0,0.01,52,0.04,15,1.33,50,半導體業,TWO
3317,2.0494,25,8.01,104,0.00,0,2.28,47,0.62,16,1.07,47,半導體業,TWO
3372,1.0991,32,4.65,7,0.00,0,1.12,43,-0.27,17,1.10,42,半導體業,TWO
3374,1.6369,20,1.74,106,-1.70,64,2.68,48,1.40,15,0.83,42,半導體業,TWO
3438,0.7446,22,6.29,97,0.00,0,2.39,45,0.10,15,0.70,51,半導體業,TWO
3527,0.2752,15,5.14,115,-2.64,30,1.80,47,0.44,16,0.36,42,半導體業,TWO
3529,2.7708,29,2.77,111,-4.49,115,1.03,51,0.24,17,0.40,47,半導體業,TWO
3555,3.781,39,0.00,0,0.00,0,0.72,42,0.49,17,-0.25,50,半導體業,TWO
3556,0.149,18,4.05,180,-0.75,12,1.03,46,0.19,16,0.07,45,半導體業,TWO
3567,0.4499,21,-0.49,86,0.00,0,1.23,42,0.35,16,0.11,41,半導體業,TWO
3581,-0.3229,22,-0.58,30,0.00,0,0.96,48,0.06,15,0.17,46,半導體業,TWO
3675,0.7077,21,4.89,57,0.00,0,0.89,50,-0.40,16,0.78,47,半導體業,TWO
3680,1.4049,12,20.55,150,0.00,7,2.75,45,0.41,18,0.91,46,半導體業,TWO
3707,1.9327,25,-0.40,82,0.05,7,2.34,49,0.90,15,0.21,45,半導體業,TWO
4947,2.3607,23,-0.43,130,-1.37,98,1.48,40,1.24,17,0.60,42,半導體業,TWO
4966,1.7581,22,5.00,177,0.04,184,1.67,44,0.73,21,1.06,51,半導體業,TWO
4971,-0.86,27,-5.41,204,-0.81,6,1.21,43,0.26,14,0.11,44,半導體業,TWO
4973,0.669,24,-1.34,68,0.00,0,0.96,45,0.03,16,0.64,43,半導體業,TWO
4991,1.3614,22,1.24,112,0.94,21,1.08,52,0.57,16,0.59,47,半導體業,TWO
5272,-0.9919,22,5.98,132,0.00,0,1.38,43,0.27,19,0.36,48,半導體業,TWO
5274,-0.6107,13,-0.98,214,4.92,85,1.58,46,0.19,16,2.24,53,半導體業,TWO
5299,0.8829,14,15.49,51,0.88,47,2.01,28,0.90,12,0.82,32,半導體業,TWO
5302,0.8926,21,0.22,35,0.00,0,1.12,51,1.01,15,0.81,44,半導體業,TWO
5314,-0.0441,33,0.00,0,0.00,0,0.70,56,-0.18,18,2.07,61,半導體業,TWO
5344,-0.1711,19,-0.27,5,0.00,0,1.21,47,0.77,17,1.50,51,半導體業,TWO
5347,1.0717,25,1.94,116,-0.27,106,1.00,49,-0.00,15,0.73,44,半導體業,TWO
5351,-0.1209,28,0.99,90,0.00,0,1.13,51,0.16,16,-0.04,42,半導體業,TWO
5425,1.21,23,2.25,152,2.94,79,2.14,53,0.61,17,-0.08,42,半導體業,TWO
5468,0.1118,16,0.00,0,0.00,0,2.81,47,0.72,15,4.26,52,半導體業,TWO
5483,0.2089,22,0.86,154,5.11,153,2.44,47,0.87,15,0.32,42,半導體業,TWO
5487,0.2347,19,0.37,7,0.00,0,0.58,46,-0.07,18,0.23,47,半導體業,TWO
6103,1.2258,13,0.00,9,0.00,0,0.68,20,0.65,8,1.52,25,半導體業,TWO
6104,1.7735,22,7.07,204,-0.54,8,0.70,48,0.26,15,0.50,43,半導體業,TWO
6129,0.2724,25,-2.27,163,0.00,0,0.97,50,0.21,16,0.23,45,半導體業,TWO
6138,1.7008,18,4.55,164,-0.46,70,1.73,49,0.57,16,0.95,44,半導體業,TWO
6147,1.6011,26,6.86,169,4.40,139,1.00,46,0.40,19,0.13,47,半導體業,TWO
6182,1.2471,21,0.03,126,-1.25,74,2.15,42,1.46,16,0.50,43,半導體業,TWO
6198,3.3216,28,0.00,2,0.00,0,-0.02,34,-0.32,9,-0.09,35,半導體業,TWO
6223,0.9965,25,0.67,115,-1.83,22,1.15,48,0.05,16,0.19,46,半導體業,TWO
6229,1.8131,25,1.30,27,0.00,0,0.79,46,-0.00,16,0.72,43,半導體業,TWO
6233,0.4951,20,0.37,73,0.00,0,0.57,49,-0.02,17,0.87,52,半導體業,TWO
6237,0.41,23,-0.96,134,0.00,0,0.99,49,0.02,16,-0.26,42,半導體業,TWO
6261,0.4451,18,-1.86,189,0.00,0,0.98,51,0.18,18,0.28,41,半導體業,TWO
6287,5.3061,29,0.00,0,0.00,0,1.42,42,1.39,17,2.33,47,半導體業,TWO
6291,2.7849,19,0.00,0,0.00,0,3.31,37,0.64,12,3.96,37,半導體業,TWO
6411,0.3415,21,1.43,125,3.60,21,1.27,46,0.05,15,0.77,44,半導體業,TWO
6435,1.8303,25,2.37,82,-1.31,28,2.32,53,0.65,15,0.38,46,半導體業,TWO
6457,1.9431,30,1.47,18,0.00,0,1.33,50,0.95,15,0.25,40,半導體業,TWO
6462,1.0353,30,-2.88,102,0.60,87,1.16,48,0.57,15,0.72,47,半導體業,TWO
6485,-0.3123,32,-0.12,89,0.00,0,0.05,49,-0.65,13,0.35,41,半導體業,TWO
6488,0.5856,21,3.10,109,3.29,172,1.93,47,1.70,14,0.81,44,半導體業,TWO
6494,0.8639,29,6.07,111,0.00,0,0.27,52,-0.57,12,0.14,45,半導體業,TWO
6510,0.8746,32,1.71,108,5.80,109,1.37,48,-0.50,14,0.47,49,半導體業,TWO
6532,1.1948,14,15.17,96,0.00,1,1.70,48,0.45,17,1.01,44,半導體業,TWO
6548,0.0359,32,0.63,137,-4.84,30,0.84,44,-0.01,16,-1.07,39,半導體業,TWO
6568,-0.6695,23,4.73,185,0.05,127,1.01,47,-0.64,15,-0.13,47,半導體業,TWO
6594,0.2542,32,0.00,5,0.00,0,0.36,41,-0.04,13,0.07,34,半導體業,TWO
6640,0.6645,9,0.00,2,0.00,0,0.21,24,0.01,7,0.52,25,半導體業,TWO
6643,-0.54,6,-1.28,68,-3.08,48,0.48,18,-0.18,4,0.14,18,半導體業,TWO
6679,1.1679,6,3.95,43,-1.38,53,1.49,14,0.84,6,0.07,12,半導體業,TWO
6683,1.3245,4,8.72,22,3.58,31,1.52,13,0.65,4,0.46,14,半導體業,TWO
6716,0,0,-0.25,2,0.00,0,-0.03,2,0.00,1,0.18,3,半導體業,TWO
8024,0.6121,23,-0.22,10,0.00,0,0.30,52,0.45,15,0.06,41,半導體業,TWO
8040,0.0442,25,1.23,45,0.00,0,1.70,50,0.00,13,0.70,49,半導體業,TWO
8054,0.0163,21,-2.84,92,0.00,0,0.47,51,0.44,19,0.14,48,半導體業,TWO
8086,1.6305,22,5.55,142,3.48,80,2.41,50,0.28,17,1.42,49,半導體業,TWO
8088,1.1267,20,1.14,75,0.00,0,1.89,47,1.43,17,0.34,41,半導體業,TWO
8277,1.238,21,0.32,107,0.00,0,1.63,48,0.09,15,-0.11,47,半導體業,TWO
8299,0.5059,23,31.26,156,-5.98,87,1.40,46,0.10,14,0.37,46,半導體業,TWO
1598,0.1694,27,1.74,104,-1.25,17,0.89,51,-0.09,13,-0.23,36,生技醫療業,TW
1701,0.4839,14,-3.33,194,0.00,1,0.50,57,-0.13,15,0.35,39,生技醫療業,TW
1707,1.3715,27,-1.60,152,7.19,83,0.91,50,0.29,17,0.26,49,生技醫療業,TW
1720,0.4898,22,3.17,165,-0.04,2,0.63,46,0.10,18,0.55,43,生技醫療業,TW
1731,0.7996,24,-1.94,97,0.00,0,0.22,50,0.06,20,0.18,36,生技醫療業,TW
1733,0.3006,26,0.59,147,0.31,9,0.36,47,-0.17,13,0.12,51,生技醫療業,TW
1734,0.5059,29,2.08,207,0.00,0,0.31,50,-0.06,15,0.34,41,生技醫療業,TW
1736,-0.0882,28,10.52,97,-0.57,16,1.25,44,-0.12,11,0.69,44,生技醫療業,TW
1760,2.9733,14,-2.01,65,0.34,35,2.08,34,0.38,11,0.30,33,生技醫療業,TW
1762,1.8137,22,1.37,124,0.56,8,1.69,47,0.91,18,0.62,46,生技醫療業,TW
