,id,auc2,acu2
0,2233,0.8993055555555555,0.7674418604651163
1,2368,0.71,0.6587615283267457
2,2369,0.7284882025358645,0.6732542819499341
3,2449,0.7161297085750227,0.6732542819499341
4,2453,0.7566053092912598,0.7061923583662714
5,4540,0.7264150943396226,0.6585365853658537
6,4557,0.695477514814411,0.6506024096385542
7,5388,0.7401966252963325,0.6758893280632411
8,1595,0.734537884239745,0.670906200317965
9,4760,0.7876797998749219,0.7
10,5483,0.7380625524332495,0.6710526315789473
11,6223,0.7375048741087343,0.6723684210526316
12,6508,0.7546618511535048,0.6789473684210526
13,6683,0.8136363636363636,0.7397260273972602
14,8054,0.7358380773437281,0.6763157894736842
15,8416,0.7127986568513496,0.651705565529623
