,id,model,auc
0,1101,2,0.7567516879219804
1,1102,2,0.7393726526637919
2,1103,2,0.7470626677234111
3,1104,2,0.7796357017811988
4,1108,2,0.7852013888888889
5,1109,2,0.7739147042803483
6,1110,2,0.7716589700531766
7,1201,2,0.7652964865990836
8,1203,2,0.7541174836828217
9,1210,2,0.7196322681886986
10,1213,2,0.769697464994824
11,1215,2,0.7656302123874124
12,1216,2,0.7766028448671423
13,1217,2,0.7566743103328469
14,1218,2,0.7583860209824221
15,1219,2,0.729138608305275
16,1220,2,0.7586748595896123
17,1225,2,0.7192827170207187
18,1227,2,0.7360638430871383
19,1229,2,0.7642762982596378
20,1231,2,0.7698557084727874
21,1232,2,0.7925986727209222
22,1233,2,0.737454861111111
23,1234,2,0.7418570665767361
24,1235,2,0.7794517637059074
25,1236,2,0.7509859741702541
26,1256,2,0.7406319045514803
27,1301,2,0.7201391492730076
28,1303,2,0.7384259259259259
29,1304,2,0.7397362754146042
30,1305,2,0.7350151032169157
31,1307,2,0.7394216517045614
32,1308,2,0.7379218164143869
33,1309,2,0.760180502879618
34,1310,2,0.7649686438005815
35,1312,2,0.7483013088276246
36,1313,2,0.7161350844277674
37,1314,2,0.7870179662385014
38,1315,2,0.7184979838709677
39,1316,2,0.7513739167195096
40,1319,2,0.74307590804917
41,1321,2,0.7135505943671
42,1323,2,0.7858899993011391
43,1324,2,0.723343777819836
44,1325,2,0.7899090302412981
45,1326,2,0.7553541666666667
46,1337,2,0.751573319655152
47,1338,2,0.7529399557277255
48,1339,2,0.763514136801808
49,1340,2,0.793990110308102
50,1341,2,0.8604444444444445
51,1402,2,0.7352137073211454
52,1409,2,0.7579851129719896
53,1410,2,0.7685904630870054
54,1413,2,0.79450120618703
55,1414,2,0.7567633320358116
56,1416,2,0.8043193717277487
57,1417,2,0.7616923665094941
58,1418,2,0.7764256912442395
59,1419,2,0.7599360975430607
60,1423,2,0.7743200982855867
61,1432,2,0.7628101704536967
62,1434,2,0.740997992583712
63,1435,2,0.7318607434525486
64,1436,2,0.758012097784459
65,1437,2,0.7268367389462279
66,1438,2,0.7942400147928993
67,1439,2,0.7491214614419188
68,1440,2,0.75455854797662
69,1441,2,0.7626067406167552
70,1442,2,0.778478548084278
71,1443,2,0.7465277777777778
72,1444,2,0.7248080915030859
73,1445,2,0.7650686468369164
74,1446,2,0.8032042732905448
75,1447,2,0.7385631130004723
76,1449,2,0.786036841634624
77,1451,2,0.7769178082191781
78,1452,2,0.7674296557860202
79,1453,2,0.7736160558464223
80,1454,2,0.7103232686517229
81,1455,2,0.7512876014421136
82,1456,2,0.7389435727511938
83,1457,2,0.7471632868772706
84,1459,2,0.720868142578669
85,1460,2,0.78367976706279
86,1463,2,0.7826349184214196
87,1464,2,0.7801134771644718
88,1465,2,0.7294816490067151
89,1466,2,0.7317512553547618
90,1467,2,0.7705626651829183
91,1468,2,0.7353421894561135
92,1470,2,0.7907450319500035
93,1471,2,0.7998116040568871
94,1472,2,0.7801531128123645
95,1473,2,0.7359468814014269
96,1474,2,0.7927322229785105
97,1475,2,0.7497819133469034
98,1476,2,0.735496558505408
99,1477,2,0.7630409421698795
100,1503,2,0.7862868494901503
101,1504,2,0.7623283200711023
102,1506,2,0.737215777262181
103,1507,2,0.789450834930955
104,1512,2,0.7665459610027856
105,1513,2,0.7468585468585468
106,1514,2,0.776640859315059
107,1515,2,0.7803008560888708
108,1516,2,0.7883099241792
109,1517,2,0.7810012640820125
110,1519,2,0.7805573301483251
111,1521,2,0.761761503238776
112,1522,2,0.7503753545014735
113,1524,2,0.7508444067608139
114,1525,2,0.7886262768580486
115,1526,2,0.7453769057029928
116,1527,2,0.76797666457067
117,1528,2,0.7582159951994865
118,1529,2,0.743753765060241
119,1530,2,0.7560716729745961
120,1531,2,0.7424277207335058
121,1532,2,0.786089859507581
122,1533,2,0.7183929692404268
123,1535,2,0.7712577594467359
124,1536,2,0.7072326825540194
125,1537,2,0.7723568174535728
126,1538,2,0.7784003588419992
127,1539,2,0.7542053606183619
128,1540,2,0.7660437284554654
129,1541,2,0.7812701009592528
130,1558,2,0.7602509139685962
131,1560,2,0.7468154856992041
132,1568,2,0.7896776911733728
133,1582,2,0.7648551483420595
134,1583,2,0.7318629821367619
135,1587,2,0.813379602853287
136,1589,2,0.7511370080198123
137,1590,2,0.7861778257860892
138,1592,2,0.7456563706563707
139,1598,2,0.7747351879874288
140,1603,2,0.7831214662467271
141,1604,2,0.7776825396825398
142,1605,2,0.7538373918237509
143,1608,2,0.7268116445494337
144,1609,2,0.7783008356545961
145,1611,2,0.7616794692737431
146,1612,2,0.7622970739768641
147,1614,2,0.7245003518648838
148,1615,2,0.7928219948449581
149,1616,2,0.7728443941679235
150,1617,2,0.7665968052565991
151,1618,2,0.7614348218626293
152,1626,2,0.7523251322279669
153,1701,2,0.7655924361575013
154,1702,2,0.783677639993327
155,1707,2,0.7547511877969493
156,1708,2,0.7535217137617738
157,1709,2,0.7690287247121942
158,1710,2,0.7941188723788362
159,1711,2,0.77959927772762
160,1712,2,0.7654921948780624
161,1713,2,0.7714301763846758
162,1714,2,0.7678239997767203
163,1717,2,0.7462495987942896
164,1718,2,0.7348398249086905
165,1720,2,0.7647522757278855
166,1721,2,0.7486759681093393
167,1722,2,0.7626407810134844
168,1723,2,0.7529649895149083
169,1724,2,0.7662277034559642
170,1725,2,0.7746651568622003
171,1726,2,0.7753898140060995
172,1727,2,0.7733820444790176
173,1730,2,0.7756566676483374
174,1731,2,0.7606508711188977
175,1732,2,0.7760941579405406
176,1733,2,0.7806869802222377
177,1734,2,0.7528633257720194
178,1735,2,0.7792569331733823
179,1736,2,0.7275407055159276
180,1737,2,0.7408440387649313
181,1760,2,0.7743181818181817
182,1762,2,0.7472451790633609
183,1773,2,0.77614970952507
184,1776,2,0.8011173767752715
185,1783,2,0.7913148821172306
186,1786,2,0.7659830904839
187,1789,2,0.7805339849942946
188,1795,2,0.9285714285714285
189,1802,2,0.7641259809709007
190,1805,2,0.7556733739667698
191,1806,2,0.7507678410117434
192,1808,2,0.7746084152334153
193,1809,2,0.7885852989731106
194,1810,2,0.7355491734379378
195,1817,2,0.7524963576276608
196,1902,2,0.7861560768546473
197,1903,2,0.7287282547699214
198,1904,2,0.7652649489547886
199,1905,2,0.7760187340494152
200,1906,2,0.7614782614782615
201,1907,2,0.7184166666666667
202,1909,2,0.7732247284878864
203,2002,2,0.7716643454038997
204,2006,2,0.7312392259356059
205,2007,2,0.7353841283241874
206,2008,2,0.7486429760440036
207,2009,2,0.7591780148813703
208,2010,2,0.7765158880062217
209,2012,2,0.7241333814788067
210,2013,2,0.7766290814470775
211,2014,2,0.7835103185734322
212,2015,2,0.764514984556307
213,2017,2,0.751145680050452
214,2020,2,0.7805889297867906
215,2022,2,0.781246881015185
216,2023,2,0.7670269819657098
217,2024,2,0.7695910290237468
218,2025,2,0.7699305731944798
219,2027,2,0.7683580284665851
220,2028,2,0.7557325592203575
221,2029,2,0.7543304787855197
222,2030,2,0.7473512575403435
223,2031,2,0.75906607917269
224,2032,2,0.7364952710232305
225,2033,2,0.7786449296403051
226,2034,2,0.7566783537857918
227,2038,2,0.7789031035299692
228,2049,2,0.7373051627525409
229,2059,2,0.7152093895409404
230,2062,2,0.7851101659461721
231,2069,2,0.7321749685308399
232,2101,2,0.7612334189874296
233,2102,2,0.8025062253434432
234,2103,2,0.7747793759988882
235,2104,2,0.7462073851796281
236,2105,2,0.7572270441215397
237,2106,2,0.7310561253600903
238,2107,2,0.7789015612577307
239,2108,2,0.7320381129767597
240,2109,2,0.7912581699346405
241,2114,2,0.7697183098591549
242,2115,2,0.7724396180490545
243,2201,2,0.7767296479031173
244,2204,2,0.761135438165895
245,2206,2,0.7861104932436189
246,2207,2,0.7544222886125199
247,2208,2,0.7620108019454812
248,2227,2,0.7522615160147293
249,2228,2,0.7433431415286254
250,2231,2,0.7512563653059521
251,2233,3,0.8993055555555555
252,2236,2,0.7718442031259808
253,2239,2,0.7588044485634847
254,2243,2,0.8067806603773585
255,2301,2,0.7375877894444057
256,2302,2,0.7500348398065694
257,2303,2,0.7227481075074658
258,2305,2,0.737355747198267
259,2308,2,0.7401401213737173
260,2312,2,0.7549236111111111
261,2313,2,0.7303963105474448
262,2314,2,0.7399961687454769
263,2316,2,0.7423994289073654
264,2317,2,0.7192285102991148
265,2321,2,0.7399257726588725
266,2323,2,0.758508175114879
267,2324,2,0.7786842543969325
268,2327,2,0.7361961206896551
269,2328,2,0.7414179933872357
270,2329,2,0.7473266728493942
271,2330,2,0.7476937591725487
272,2331,2,0.8020498732037193
273,2332,2,0.7554356892620809
274,2337,2,0.7651529963828331
275,2338,2,0.7653411278748207
276,2340,2,0.7424348009713864
277,2342,2,0.7923375625853438
278,2344,2,0.7468985301881026
279,2345,2,0.783328663491174
280,2347,2,0.7700584225900682
281,2348,2,0.7858181203515888
282,2349,2,0.7592147435897436
283,2351,2,0.762897477112307
284,2352,2,0.747117210185392
285,2353,2,0.7909387658514178
286,2354,2,0.7590674478621747
287,2355,2,0.7498540754638315
288,2356,2,0.7295513313299322
289,2357,2,0.7748125353706847
290,2358,2,0.7594562647754137
291,2359,2,0.7542314007831249
292,2360,2,0.719200077851304
293,2362,2,0.7130257660167131
294,2363,2,0.7669689119170985
295,2364,2,0.7640734810700521
296,2365,2,0.7299955390749157
297,2367,2,0.7599653560397363
298,2368,3,0.71
299,2369,3,0.7284882025358645
300,2371,2,0.7804506141537074
301,2373,2,0.7854833619692135
302,2374,2,0.7582086944366787
303,2375,2,0.7653449017639468
304,2376,2,0.7821472724999653
305,2377,2,0.7753827049628871
306,2379,2,0.7320447409733123
307,2380,2,0.7734551759622773
308,2382,2,0.7220117611077128
309,2383,2,0.7466739496499992
310,2385,2,0.749909678315848
311,2387,2,0.7293724058966652
312,2388,2,0.7489219899994382
313,2390,2,0.7803192381911235
314,2392,2,0.7533335648308909
315,2393,2,0.7803651033927256
316,2395,2,0.7304613506573686
317,2397,2,0.7856507539434369
318,2399,2,0.7872557596967046
319,2401,2,0.7013286654881054
320,2402,2,0.7542599805258033
321,2404,2,0.7685406698564593
322,2405,2,0.7510985561833018
323,2406,2,0.7801326815642459
324,2408,2,0.7588153017693545
325,2409,2,0.7549743461394068
326,2412,2,0.7377295728794366
327,2413,2,0.7993298015823357
328,2414,2,0.7764746897224933
329,2415,2,0.7583058567117469
330,2417,2,0.7581522878099896
331,2419,2,0.754142932931256
332,2420,2,0.7672583894948934
333,2421,2,0.7340552416823602
334,2423,2,0.754455714166458
335,2424,2,0.765171090752486
336,2425,2,0.7962005649717515
337,2426,2,0.7535977400654708
338,2427,2,0.7706973572512074
339,2428,2,0.7491787190801654
340,2429,2,0.8019348462386436
341,2430,2,0.7609832197900379
342,2431,2,0.7810437078729762
343,2433,2,0.7674479166666666
344,2434,2,0.7582460770739586
345,2436,2,0.7255965521605242
346,2438,2,0.7504599781035217
347,2439,2,0.7502747252747253
348,2440,2,0.7614813227626599
349,2441,2,0.7654532967032966
350,2442,2,0.7988153963732371
351,2443,2,0.7884769694239541
352,2444,2,0.7882906521130703
353,2448,2,0.7398060891627403
354,2449,3,0.7161297085750227
355,2450,2,0.7711970421438895
356,2451,2,0.7109452045280922
357,2453,3,0.7566053092912598
358,2454,2,0.7322552629750574
359,2455,2,0.7498868581375109
360,2456,2,0.7669540434627716
361,2457,2,0.7905870132786839
362,2458,2,0.7660407160407161
363,2459,2,0.7640422265682502
364,2460,2,0.795385145784082
