,id,auc,acu
0,1101,0.5585427407678046,0.5318595578673602
1,1102,0.5686550441749177,0.5324675324675324
2,1103,0.5580055259442407,0.548051948051948
3,1104,0.5977134136047163,0.564935064935065
4,1108,0.5899156545209177,0.5506493506493506
5,1109,0.6134737870221342,0.5779816513761468
6,1110,0.6418235531453659,0.5963541666666666
7,1201,0.529810298102981,0.5272727272727272
8,1203,0.6059416094839045,0.5727272727272728
9,1210,0.6097258203799656,0.5766233766233766
10,1213,0.5882949161807579,0.5631868131868132
11,1215,0.6321434131351487,0.5935064935064935
12,1216,0.5260509536931972,0.512987012987013
13,1217,0.6109228750743928,0.5727272727272728
14,1218,0.6036333188696643,0.5675324675324676
15,1219,0.6107598804834986,0.5885416666666666
16,1220,0.5942742585456047,0.5753246753246753
17,1225,0.6068234091489905,0.5778961384820239
18,1227,0.5522976018843787,0.5246753246753246
19,1229,0.5643978066409288,0.5428571428571428
20,1231,0.6226452702702703,0.5909090909090909
21,1232,0.6358207025161814,0.5961038961038961
22,1233,0.619380268761685,0.5987012987012987
23,1234,0.5891881793478262,0.5651041666666666
24,1235,0.6625235327259485,0.6133682830930537
25,1236,0.5903795413030242,0.5630689206762028
26,1256,0.5595208540218471,0.5337620578778135
27,1301,0.5434221898125642,0.5285714285714286
28,1303,0.5367843089611976,0.5285714285714286
29,1304,0.5589291378972875,0.538961038961039
30,1305,0.563984720872476,0.5363636363636364
31,1307,0.5659452272972681,0.551948051948052
32,1308,0.5873054491143416,0.5441558441558442
33,1309,0.552648467530011,0.5428571428571428
34,1310,0.6342484291271114,0.5971316818774446
35,1312,0.5507373974525044,0.5181818181818182
36,1313,0.5589912280701754,0.5493506493506494
37,1314,0.5996675603943235,0.5688311688311688
38,1315,0.5636618969384208,0.5509138381201044
39,1316,0.6235320163487739,0.5984354628422425
40,1319,0.5671512985562572,0.5467532467532468
41,1321,0.5703094691994094,0.5636363636363636
42,1323,0.6008780824140169,0.564935064935065
43,1324,0.5657818312566554,0.5384615384615384
44,1325,0.6646391923204237,0.6135770234986945
45,1326,0.5803508771929826,0.548051948051948
46,1337,0.6302586206896551,0.5907692307692308
47,1338,0.579973010528566,0.5555555555555556
48,1339,0.5890821902531502,0.5592654424040067
49,1340,0.6785824737579363,0.5957446808510638
50,1341,0.6172772988505747,0.5377358490566038
51,1402,0.5655506756756756,0.5402597402597402
52,1409,0.5790475033902079,0.5597402597402598
53,1410,0.624996486197785,0.5814569536423841
54,1413,0.5962933949039333,0.5641361256544503
55,1414,0.5861894344514665,0.5675324675324676
56,1416,0.6146054354600392,0.5925925925925926
57,1417,0.6028180832122464,0.556135770234987
58,1418,0.6463299351251158,0.6179604261796042
59,1419,0.5986462637741048,0.5748663101604278
60,1423,0.5791749179393972,0.546875
61,1432,0.6332456291695422,0.5986666666666667
62,1434,0.5638669187863015,0.5506493506493506
63,1435,0.5740709476570255,0.5454545454545454
64,1436,0.6762187224426808,0.6417322834645669
65,1437,0.5647298537269929,0.5415584415584416
66,1438,0.6350168515428161,0.5928571428571429
67,1439,0.5826309879733221,0.5630689206762028
68,1440,0.5790866863645276,0.5597402597402598
69,1441,0.5644654746451153,0.5557011795543906
70,1442,0.6199843413583871,0.5818181818181818
71,1443,0.6100427350427351,0.5978835978835979
72,1444,0.5738240770725389,0.5506493506493506
73,1445,0.6119630863395082,0.5844155844155844
74,1446,0.5816336915811758,0.5571428571428572
75,1447,0.5898760330578513,0.5688311688311688
76,1449,0.6177587402836078,0.5986666666666667
77,1451,0.6094070607414904,0.58994708994709
78,1452,0.5762813636394303,0.5467532467532468
79,1453,0.6539206886703929,0.6114732724902217
80,1454,0.5595543345543346,0.5260416666666666
81,1455,0.5777715854719443,0.5337662337662338
82,1456,0.6060995826902189,0.5821812596006144
83,1457,0.6095571095571096,0.5718015665796344
84,1459,0.5840455840455839,0.5493506493506494
85,1460,0.6105854403529611,0.5896103896103896
86,1463,0.6267825898979253,0.5961038961038961
87,1464,0.6065169436474855,0.5662337662337662
88,1465,0.6155639097744362,0.5859375
89,1466,0.6083540974529347,0.5850785340314136
90,1467,0.5795202702702702,0.5493506493506494
91,1468,0.6087457507991539,0.6012987012987013
92,1470,0.5861918965945812,0.5445378151260504
93,1471,0.6029693846206355,0.57421875
