,Booling,,發繦戈,,發繦щ獺,,KD ユ,,MACD ユ,,А絬ユ,
布絏,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计
1437,58.70%,21,22.12%,179,0.00%,0,85.23%,47,2.05%,15,13.80%,43
1438,-5.42%,10,196.30%,17,0.00%,0,155.35%,53,36.14%,17,103.03%,52
1439,101.26%,20,-356.12%,150,0.00%,0,172.15%,48,16.84%,19,54.73%,45
1440,-173.05%,29,-400.57%,171,0.00%,0,49.70%,45,-11.14%,18,-0.70%,39
1441,153.38%,35,-144.13%,52,0.00%,0,194.14%,43,133.70%,18,66.02%,43
1442,16.22%,24,-783.70%,180,0.00%,0,55.89%,47,-19.13%,17,0.13%,38
1443,-22.73%,22,19.97%,17,0.00%,0,87.96%,52,35.59%,16,78.81%,51
1444,11.55%,21,60.45%,212,0.00%,1,91.74%,47,-22.94%,17,51.97%,48
1445,16.98%,48,20.02%,28,0.00%,0,5.86%,48,-13.76%,14,12.35%,51
1446,105.02%,21,-83.56%,71,0.00%,0,95.22%,47,7.46%,15,54.71%,42
1447,81.45%,34,158.97%,185,0.00%,0,38.32%,49,-7.06%,16,-11.88%,42
1449,200.70%,48,-100.24%,53,0.00%,0,130.28%,47,83.67%,15,108.55%,53
1451,-376.38%,33,94.57%,123,68.71%,9,25.67%,44,-32.57%,13,25.89%,37
1452,14.08%,29,-42.49%,127,0.00%,9,16.39%,49,2.56%,14,1.25%,41
1453,-67.32%,27,-10.89%,27,0.00%,0,49.89%,47,3.94%,16,43.62%,46
1454,59.59%,38,-9.66%,37,0.00%,0,38.66%,49,17.62%,19,14.25%,45
1455,77.53%,29,-290.60%,163,-18.39%,2,47.30%,52,-0.38%,16,-12.83%,45
1456,-28.82%,25,-166.32%,13,0.00%,0,33.84%,50,-3.71%,14,31.32%,44
1457,17.96%,16,-8.85%,164,17.99%,2,76.08%,47,-6.56%,16,58.50%,47
1459,99.26%,27,-8.76%,89,0.00%,0,29.45%,45,7.71%,16,-2.63%,40
1460,52.26%,36,67.26%,219,0.00%,0,34.04%,46,-20.14%,17,-19.67%,38
1463,-88.01%,28,-295.70%,125,-45.15%,4,3.50%,48,-49.49%,11,-29.49%,34
1464,-28.89%,29,120.52%,164,-11.74%,1,41.57%,47,-26.21%,15,49.94%,50
